	observed_otus
PFF_Baseline_11	210
PFF_Baseline_12	130
PFF_Baseline_13	136
PFF_Baseline_14	133
PFF_Baseline_15	143
PFF_Baseline_16	139
PFF_Baseline_17	98
PFF_Baseline_18	135
PFF_Baseline_19	122
PFF_Baseline_1921	133
PFF_Baseline_1937	163
PFF_Baseline_1942	133
PFF_Baseline_1943	129
PFF_Baseline_1944	155
PFF_Baseline_1946	130
PFF_Baseline_25	122
PFF_Baseline_26	145
PFF_Baseline_27	151
PFF_Baseline_28	125
PFF_Baseline_30	146
PFF_Baseline_32	179
PFF_Baseline_35	174
PFF_Baseline_36	143
PFF_Baseline_37	124
