	PFF_Baseline_11	PFF_Baseline_12	PFF_Baseline_13	PFF_Baseline_14	PFF_Baseline_15	PFF_Baseline_16	PFF_Baseline_17	PFF_Baseline_18	PFF_Baseline_19	PFF_Baseline_1921	PFF_Baseline_1937	PFF_Baseline_1942	PFF_Baseline_1943	PFF_Baseline_1944	PFF_Baseline_1946	PFF_Baseline_25	PFF_Baseline_26	PFF_Baseline_27	PFF_Baseline_28	PFF_Baseline_30	PFF_Baseline_32	PFF_Baseline_35	PFF_Baseline_36	PFF_Baseline_37
PFF_Baseline_11	0.0	0.366993366993367	0.42303019784796947	0.35796456682549294	0.25787655883361016	0.2848391826890134	0.41587395081725814	0.3483019706816963	0.40889703031194424	0.44316016412824255	0.4072421138046455	0.43460518791911423	0.39655522881574135	0.2784224162276986	0.4680677386335661	0.5095495382295658	0.34148578416386427	0.4139617493371773	0.33157894736842103	0.2994383290621556	0.3959550561797753	0.36715607011189444	0.4222011615756604	0.4336948537354708
PFF_Baseline_12	0.366993366993367	0.0	0.25749079266374253	0.31672773277689237	0.2818740020083296	0.24711372277912202	0.2870319513627152	0.27659713168187744	0.2787962063071819	0.35168357283741897	0.46115789599779583	0.38528712583081326	0.37871919839132956	0.35712347354138396	0.39031384932654506	0.35782688386844325	0.34068430268326155	0.37744259990093787	0.24909143646880172	0.32285714285714284	0.3931123018530922	0.35746213461105575	0.39533568483874326	0.28174822342501565
PFF_Baseline_13	0.42303019784796947	0.25749079266374253	0.0	0.33018549747048903	0.3839889159232225	0.34476082206867154	0.3234444531189008	0.3339465190561399	0.361507356104276	0.3698411836076855	0.5016602373162752	0.39811527358396653	0.49708503300127804	0.4566368675405685	0.4177340715643335	0.3099119036472741	0.4311175804625586	0.40262847404299945	0.3633208288048242	0.3906236676501185	0.35547281779147233	0.3671554155465026	0.3703297373072469	0.3233248033361767
PFF_Baseline_14	0.35796456682549294	0.31672773277689237	0.33018549747048903	0.0	0.3061774775047717	0.26076005512696626	0.3626907312368684	0.2973419184414727	0.2962044807144507	0.31514399445617314	0.39213034953688053	0.336880066762041	0.5138000594223522	0.395561266533514	0.3378777753025915	0.4040948275862069	0.31366152053597435	0.3638400094320158	0.38067505792472917	0.27597109994348296	0.37406247156542877	0.2958598301240717	0.3666951889370394	0.31049760845850466
PFF_Baseline_15	0.25787655883361016	0.2818740020083296	0.3839889159232225	0.3061774775047717	0.0	0.23489549443747917	0.2795858498705781	0.24995865345581933	0.2939271005259992	0.3402115120691047	0.44088908947309036	0.3708723950558309	0.3714536368336127	0.2540675144443978	0.37773546169981703	0.39025843449765396	0.25764472455648924	0.35575304851043726	0.2786700125470514	0.28732536609998316	0.41628588166373753	0.32122652015739844	0.42373724807165963	0.32065445862550235
PFF_Baseline_16	0.2848391826890134	0.24711372277912202	0.34476082206867154	0.26076005512696626	0.23489549443747917	0.0	0.29429925721446343	0.24682509744750408	0.2430338058183462	0.340841349410649	0.3825268535040761	0.31929299074897427	0.45397565057591965	0.3448406566171968	0.36299197910837533	0.36034316522697313	0.2872960994258038	0.31337990162063806	0.26804987432852	0.29271260245901637	0.35859214370739095	0.3126376865555866	0.3410121661507451	0.2705100562016189
PFF_Baseline_17	0.41587395081725814	0.2870319513627152	0.3234444531189008	0.3626907312368684	0.2795858498705781	0.29429925721446343	0.0	0.20393422468111264	0.2704769606722807	0.3027580713875563	0.47978483428769736	0.33563685636856366	0.3763263845396797	0.4023263500857822	0.34949638102950853	0.2423076923076923	0.3139811208660638	0.34554273289847803	0.26879524116677417	0.3930630803268122	0.4152787256596047	0.34929373537384045	0.40879585054508183	0.24690902738689077
PFF_Baseline_18	0.3483019706816963	0.27659713168187744	0.3339465190561399	0.2973419184414727	0.24995865345581933	0.24682509744750408	0.20393422468111264	0.0	0.23847070688548638	0.2617509752510072	0.37359792924935287	0.24927146048135382	0.3694876330571331	0.36502344161788775	0.2832291543814129	0.31886379116732017	0.2737394623826945	0.28682828341940864	0.28106504279744615	0.29252319446971076	0.292039055638787	0.24729980281938846	0.28956205880337194	0.24696248460437403
PFF_Baseline_19	0.40889703031194424	0.2787962063071819	0.361507356104276	0.2962044807144507	0.2939271005259992	0.2430338058183462	0.2704769606722807	0.23847070688548638	0.0	0.25840370650280947	0.369856442936924	0.2460443878092811	0.47750302721305204	0.3973186388683747	0.31380196523053666	0.3634757499192614	0.34432011856243055	0.31143409980650677	0.3330781132857986	0.3724215176876886	0.2586539223193304	0.2981773190898666	0.24543656082948662	0.26787671232876714
PFF_Baseline_1921	0.44316016412824255	0.35168357283741897	0.3698411836076855	0.31514399445617314	0.3402115120691047	0.340841349410649	0.3027580713875563	0.2617509752510072	0.25840370650280947	0.0	0.4044196676391038	0.3163347877826259	0.42856188408217805	0.465683225214017	0.17411787024155811	0.36829832143934066	0.3913380096313157	0.3560486083888671	0.37247688011104235	0.3597771551443279	0.3299291714709274	0.22801426272443281	0.34479884174965997	0.2564767772853385
