index,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobiota
HET,327.0,15925.0,4.0,3879.0,25036.0,78.0,140.0
WT,212.0,9528.0,5.0,2652.0,35246.0,78.0,1022.0
MUT,241.0,9510.0,4.0,1653.0,30078.0,106.0,112.0
