index,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobiota
HET,292.0,20923.0,73.0,292.0,13882.0,328.0,5.0
WT,281.0,21577.0,89.0,166.0,9988.0,294.0,24.0
MUT,127.0,20617.0,32.0,67.0,11578.0,258.0,3.0
