	observed_features
SLCFP145	233
SLCFP146	295
SLCFP147	305
SLCFP151	161
SLCFP152	234
SLCFP153	263
SLCFP157	225
SLCFP158	298
SLCFP159	306
SLCFP163	248
SLCFP164	248
SLCFP165	268
SLCFP169	162
SLCFP170	248
SLCFP171	262
SLCFP175	156
SLCFP176	248
SLCFP177	275
SLCFP001	236
SLCFP002	226
SLCFP003	265
SLCFP007	191
SLCFP008	232
SLCFP009	209
SLCFP013	193
SLCFP014	262
SLCFP015	288
SLCFP019a	198
SLCFP020	222
SLCFP021	210
SLCFP025	177
SLCFP026	184
SLCFP027	224
SLCFP031	140
SLCFP032	155
SLCFP033	226
SLCFP037	221
SLCFP038	205
SLCFP039	209
SLCFP043	177
SLCFP044	195
SLCFP045	208
SLCFP049	184
SLCFP050	204
SLCFP051	245
SLCFP055	174
SLCFP056	210
SLCFP057	197
SLCFP061	176
SLCFP062	187
SLCFP063	213
SLCFP067	152
SLCFP068	163
SLCFP069	178
SLCFP073	170
SLCFP074	199
SLCFP075	182
SLCFP079	99
SLCFP080	191
SLCFP081	203
SLCFP085	177
SLCFP086	193
SLCFP087	175
SLCFP091	184
SLCFP092	214
SLCFP093	198
SLCFP097	176
SLCFP098	202
SLCFP099	153
SLCFP103	205
SLCFP104	174
SLCFP105	194
SLCFP109	215
SLCFP110	200
SLCFP111	222
SLCFP115	148
SLCFP116	178
SLCFP117	135
SLCFP121	201
SLCFP122	152
SLCFP123	185
SLCFP127	144
SLCFP128	194
SLCFP129	175
SLCFP133	141
SLCFP134	202
SLCFP135	195
SLCFP139	166
SLCFP140	201
SLCFP141	202
