MouseID,Score,Video,Value ,Video_Start,Video_End,Notes,Rear instances,Groom instances,Scorer,Genotype,Sex,Line
908,1,C3V1,rrggrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrrrrrrrrrrrgggrrrrrrrrrr,0:04,10:04,,51,6,Jacob,HET,Male,Q22
907,3,C3V1,rrrrrrrrrrrrrrgrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrrrgrrrrrrrr,1:40,11:40,,53,3,Jacob,WT,Male,Q22
951,4,C3V1,rrrrggrrrrrrrrrrrgggrrgrrrrrrrrrrrrrrrrrrrrrgrrrrrrrrrr,1:56,11:56,,48,7,Jacob,WT,Male,Q22
952,1,C3V4,rrgrgrrrgrrrgrrgrrgrggrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrgrgrrrrrrrrrrrrgrgr,0:05,10:05,,58,13,Jacob,MUT,Male,Q22
953,2,C3V4,rrrrrgrrrrgrrrrrrrrrrrrrrrrrrrrgrgrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrgrgrrrggrrrrrrrr,0:20,10:20,,77,8,Jacob,MUT,Male,Q22
969,3,C3V4, grrggrrrgrrrrrrgrgrrrrrrrrgrrgrggrrgrrgrgrrrgrrrrrrrrrr,0:31,10:31,,41,14,Jacob,MUT,Male,Q22
909,2,C3V1,rrgrrrrrrrrggrrgrrrggrrrrrrrrrrr,0:10,10:10,,26,6,Jacob,HET,Male,Q22
954,4,C3V4,rrrrrgrrrrggrrgrrrrrrrrrrrrrgrrrrrgrggrrrrrrrrrrrg,1:18,11:18,,41,9,Jacob,HET,Female,Q22
905,1,C3V2,rrrrrrrrrrrggrrrrrrrrrrrrgrrrrrrrrrrgrrggrrrrrrrrrrrrrrrrrrrrrrrrgrrrrgrrrrrgrrgrrrrrrrrrrrrrrrrrrrrrrrrrr,0:04,10:04,,96,10,Jacob,MUT,Female,SLC
906,2,C3V2,rrrrrrrrrrgrrrrrrrrrgrrrrrrrrrrrrrrrrrrrrrrrrgggrrrrrrrrrrrrrrrrrrrrrrrrrr,0:11,10:11,,69,5,Jacob,MUT,Female,SLC
904,1,C3V3,rrrrrrrrrgrrrrrrrrrrrrrrrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrr,0:07,10:07,,53,2,Jacob,WT,Female,SLC
972,2,C3V3,rrrrrrrrrrrrrgrggrrrrgrrrrrrggrrgrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,0:12,10:12,,61,7,Jacob,WT,Female,SLC
973,3,C3V3,rrrrrrrrrrrrgrrrrrrrgrrrrrrrrgrgrrrrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,0:56,10:56,,100,5,Jacob,MUT,Female,SLC
974,4,C3V3, rrrrrrrrrrrrrrrrrrrggrrrrrrrrrrrrrrrrrrrrgrrrrrgrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,0:42,10:42,,79,4,Jacob,MUT,Female,SLC
975,1,C3V5,rrrrrrrrrgggrgrrrrrrrrrrrgggrrrrrrrrgrrrrrrrrrrrrr,0:07,10:07,,42,8,Jacob,HET,Female,SLC
902,2,C3V5,rrgrggrrrgrrrrgrrggrrrrrrrrrrrrrrrrrrrrrgrrrrrrrrrrrrrgggrrrrrrrrr,1:25,11:25,,55,11,Jacob,WT,Male,SLC
901,3,C3V5,rrrrrrrrrrrrgrrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrrrr,2:35,12:35,,45,2,Jacob,MUT,Male,SLC
903,4,C3V5,rrrrrrrrrrrrrggrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrrrrrr,3:40,13:40,,81,3,Jacob,HET,Male,SLC
755,1,C1V1,rrrrgrrrrrrrrrrrrrrrrrrrgrrrggrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrgrrrrrrrrgrrrr,0:11,10:11,,78,6,Jacob,HET,Male,SLC
778,2,C1V1,rrrrrgrrrrrrgrrrrrrrrrgrrrrrrrrrrrrrrggrgrrrgrrrrrrrrrgrrrr,0:18,10:18,,51,8,Jacob,HET,Male,SLC
780,3,C1V1,rrrrrrrrrrggrrrrrrrrrrrrrgrgrrrrrrrrrrrrrrrrrrrgrrrrrrrrrgrrrrgrgrrrrrrrrrrrrrrrrrrrr,0:46,10:46,,77,8,Jacob,HET,Male,SLC
