Cohort,MouseID,Day,Object 1 that stayed (s),Object 2 that will move (s),Percent_Time_Investigated,Discrimination_Index,Sex ,Genotype Code,Genotype
1,754,1,16.7,16.7,50,0,Male,'--,WT
1,755,1,12.3,13.9,53.05343511,0.06106870229,Male,'+-,HET
1,756,1,2.6,1.5,36.58536585,-0.2682926829,Male,'--,WT
1,777,1,8.5,21.1,71.28378378,0.4256756757,Male,'--,WT
1,778,1,22.3,22.5,50.22321429,0.004464285714,Male,'+-,HET
1,780,1,19.3,30.1,60.93117409,0.2186234818,Male,'+-,HET
1,805,1,7.6,4.1,35.04273504,-0.2991452991,Female,'++,MUT
1,808,1,26.3,21.7,45.20833333,-0.09583333333,Female,'--,WT
1,809,1,14.4,4.3,22.99465241,-0.5401069519,Male,'--,WT
1,810,1,14.7,13.1,47.12230216,-0.05755395683,Male,'+-,HET
1,754,2,11.3,15.2,57.35849057,0.1471698113,Male,'--,WT
1,755,2,7.5,20.1,72.82608696,0.4565217391,Male,'+-,HET
1,756,2,1.3,1.8,58.06451613,0.1612903226,Male,'--,WT
1,777,2,7.8,6.4,45.07042254,-0.0985915493,Male,'--,WT
1,778,2,6.4,6.4,50,0,Male,'+-,HET
1,780,2,11.4,11.5,50.21834061,0.004366812227,Male,'+-,HET
1,805,2,5.1,6,54.05405405,0.08108108108,Female,'++,MUT
1,808,2,9.9,18.6,65.26315789,0.3052631579,Female,'--,WT
1,809,2,8.3,4,32.5203252,-0.3495934959,Male,'--,WT
1,810,2,9.7,13.2,57.6419214,0.1528384279,Male,'+-,HET
2,795,1,28.4,26.4,48.17518248,-0.03649635036,Female,'--,WT
2,797,1,23.8,15.9,40.05037783,-0.1989924433,Female,'+-,HET
2,798,1,33.7,35.2,51.08853411,0.02177068215,Female,'+-,HET
2,799,1,19.6,29.3,59.91820041,0.1983640082,Female,'+-,HET
2,803,1,31.6,24.6,43.77224199,-0.1245551601,Male,'--,WT
2,812,1,17.1,22.3,56.59898477,0.1319796954,Female,'--,WT
2,827,1,32.5,37.1,53.3045977,0.06609195402,Female,'+-,HET
2,851,1,24.1,34.3,58.73287671,0.1746575342,Male,'+-,HET
2,877,1,27.9,14.8,34.66042155,-0.3067915691,Female,'--,WT
2,878,1,31.4,28.6,47.66666667,-0.04666666667,Female,'++,MUT
2,879,1,5.3,4.8,47.52475248,-0.0495049505,Male,'--,WT
2,880,1,14.3,51.6,78.30045524,0.5660091047,Male,'--,WT
2,795,2,19.1,15.1,44.15204678,-0.1169590643,Female,'--,WT
2,797,2,9.9,29.8,75.06297229,0.5012594458,Female,'+-,HET
2,798,2,11.9,16.1,57.5,0.15,Female,'+-,HET
2,799,2,16.8,32.8,66.12903226,0.3225806452,Female,'+-,HET
2,803,2,27.5,6,17.91044776,-0.6417910448,Male,'--,WT
2,812,2,14.3,21.5,60.05586592,0.2011173184,Female,'--,WT
2,827,2,27.7,18.6,40.17278618,-0.1965442765,Female,'+-,HET
2,851,2,11,26.4,70.58823529,0.4117647059,Male,'+-,HET
2,877,2,17.5,20.2,53.58090186,0.07161803714,Female,'+-,HET
2,878,2,29,18.5,38.94736842,-0.2210526316,Female,'--,WT
2,879,2,6.3,4.4,41.12149533,-0.1775700935,Female,'++,MUT
2,880,2,18.4,16.4,47.12643678,-0.05747126437,Male,'--,WT
3,113,1,36.5,41.4,53.14505777,0.06290115533,Female,'++,MUT
3,901,1,17.5,8.8,33.46007605,-0.3307984791,Male,'++,MUT
3,902,1,36.6,18.9,34.05405405,-0.3189189189,Male,'--,WT
3,903,1,22.2,15.7,41.42480211,-0.1715039578,Male,'+-,HET
3,904,1,27.6,33.7,54.97553018,0.09951060359,Female,'--,WT
