	pielou_evenness
PFF_Jejunum_32	0.6749043902343935
PFF_Jejunum_37	0.3669644097405577
PFF_Jejunum_16	0.39914569562176555
PFF_Jejunum_19	0.2705444665224094
PFF_Jejunum_21	0.4135776826336277
PFF_Jejunum_1910	0.5586257321933693
PFF_Jejunum_1946	0.4484337745328033
PFF_Jejunum_1938	0.45597533513209004
PFF_Jejunum_1945	0.49161397447485855
PFF_Jejunum_17	0.4390400451127436
PFF_Jejunum_14	0.6141025375339811
PFF_Jejunum_18	0.18740498357694818
PFF_Jejunum_1942	0.35428789031306107
PFF_Jejunum_28	0.591088257298847
PFF_Jejunum_1943	0.5014740422167363
PFF_Jejunum_1906	0.17087227653876838
PFF_Jejunum_1917	0.5955367738432543
PFF_Jejunum_35	0.4364815733298505
PFF_Jejunum_1921	0.38397614722818163
PFF_Jejunum_30	0.4144408229500111
PFF_Jejunum_1908	0.234587996479136
PFF_Jejunum_1937	0.37296573376062997
PFF_Jejunum_1920	0.472948568440156
PFF_Jejunum_27	0.20757642099621698
PFF_Jejunum_1944	0.2422297810710465
PFF_Jejunum_1913	0.4240407336839433
PFF_Jejunum_12	0.16499704800788997
PFF_Jejunum_25	0.3049025421968473
PFF_Jejunum_13	0.4700032283724385
PFF_Jejunum_1904	0.4581616701172533
PFF_Jejunum_36	0.5463301295233132
PFF_Jejunum_15	0.1353855854552728
PFF_Jejunum_1914	0.31793335011817725
PFF_Jejunum_11	0.5813915589374772
