	chao1
PFF_Jejunum_32	96.0
PFF_Colon_1937	156.28571428571428
PFF_Cecum_16	220.63636363636363
PFF_Cecum_1943	221.33333333333334
PFF_Jejunum_37	47.3
PFF_Jejunum_16	92.0909090909091
PFF_Jejunum_19	129.1818181818182
PFF_Baseline_19	151.0
PFF_Jejunum_21	74.42857142857143
PFF_Jejunum_1910	66.75
PFF_Cecum_12	187.78571428571428
PFF_Colon_12	188.6
PFF_Cecum_1921	223.125
PFF_Jejunum_1946	142.24137931034483
PFF_Jejunum_1938	56.0
PFF_Colon_1910	199.53846153846155
PFF_Cecum_1945	199.59375
PFF_Cecum_35	232.6
PFF_Baseline_1944	199.77777777777777
PFF_Colon_1945	159.78378378378378
PFF_Cecum_30	211.33333333333334
PFF_Colon_1914	158.6
PFF_Colon_1921	284.125
PFF_Colon_21	181.02777777777777
PFF_Colon_11	181.55555555555554
PFF_Cecum_11	275.1764705882353
PFF_Baseline_26	193.77777777777777
PFF_Cecum_21	220.21428571428572
PFF_Colon_25	134.25
PFF_Cecum_37	179.90322580645162
PFF_Baseline_37	149.0
PFF_Colon_17	192.07692307692307
PFF_Colon_32	231.0
PFF_Cecum_1914	224.1304347826087
PFF_Jejunum_1945	72.4
PFF_Jejunum_17	101.15789473684211
PFF_Baseline_12	179.53846153846155
PFF_Jejunum_14	88.0
PFF_Jejunum_18	33.0
PFF_Cecum_28	273.3333333333333
PFF_Jejunum_1942	68.75
PFF_Cecum_1920	297.3181818181818
PFF_Jejunum_28	132.54545454545453
PFF_Cecum_13	218.66666666666666
PFF_Colon_28	196.33333333333334
PFF_Colon_1941	277.57142857142856
PFF_Colon_18	211.02702702702703
PFF_Colon_14	181.91304347826087
PFF_Jejunum_1943	73.8125
PFF_Baseline_15	200.09756097560975
PFF_Cecum_17	260.57894736842104
PFF_Colon_36	241.025
PFF_Baseline_1946	177.03571428571428
PFF_Cecum_1904	226.17073170731706
PFF_Jejunum_1906	45.0
PFF_Colon_30	136.65217391304347
PFF_Cecum_1938	182.95652173913044
PFF_Jejunum_1917	89.5
PFF_Baseline_25	155.93548387096774
PFF_Cecum_1910	209.85714285714286
PFF_Cecum_1913	223.17073170731706
PFF_Baseline_1942	160.54166666666666
PFF_Baseline_17	114.5
PFF_Colon_15	192.5
PFF_Colon_1907	179.7
PFF_Cecum_1942	213.33333333333334
PFF_Baseline_28	139.375
PFF_Jejunum_35	69.1
PFF_Colon_27	253.90625
PFF_Cecum_19	161.71428571428572
PFF_Colon_1938	151.4
PFF_Jejunum_1921	37.5
PFF_Baseline_11	265.2758620689655
PFF_Colon_19	194.64
PFF_Baseline_30	178.07692307692307
PFF_Colon_1913	147.66666666666666
PFF_Baseline_18	185.0
PFF_Baseline_35	217.66666666666666
PFF_Colon_1906	196.02941176470588
PFF_Colon_16	180.5
PFF_Colon_1904	210.5263157894737
PFF_Jejunum_30	65.54545454545455
PFF_Jejunum_1908	95.64705882352942
PFF_Cecum_1907	215.53571428571428
PFF_Colon_37	142.56521739130434
PFF_Cecum_25	193.54545454545456
PFF_Cecum_1906	257.16129032258067
PFF_Colon_1908	199.7
PFF_Cecum_36	205.10344827586206
PFF_Baseline_16	185.55882352941177
PFF_Cecum_27	269.8333333333333
PFF_Cecum_1944	229.45945945945945
PFF_Colon_35	178.63636363636363
PFF_Baseline_36	232.2
PFF_Jejunum_1937	61.625
PFF_Jejunum_1920	60.6
PFF_Cecum_1908	205.11111111111111
PFF_Jejunum_27	65.9090909090909
PFF_Cecum_15	190.6206896551724
PFF_Colon_1920	190.05263157894737
PFF_Cecum_1917	228.7941176470588
PFF_Jejunum_1944	55.5
PFF_Jejunum_1913	75.6
PFF_Baseline_32	227.44444444444446
PFF_Baseline_1937	200.79166666666666
PFF_Jejunum_12	44.666666666666664
PFF_Jejunum_25	64.76923076923077
PFF_Jejunum_13	72.625
PFF_Colon_1944	201.66666666666666
PFF_Jejunum_1904	67.85714285714286
PFF_Colon_1943	207.88888888888889
PFF_Baseline_1943	189.89473684210526
PFF_Baseline_27	209.5
PFF_Jejunum_36	142.4736842105263
PFF_Cecum_1941	261.0652173913044
PFF_Cecum_32	238.21621621621622
PFF_Jejunum_15	41.142857142857146
PFF_Jejunum_1914	62.6
PFF_Cecum_1937	226.0
PFF_Jejunum_11	78.5
PFF_Colon_1942	187.52777777777777
PFF_Cecum_14	209.57142857142858
PFF_Baseline_13	176.27586206896552
PFF_Colon_13	169.0
PFF_Baseline_14	158.9655172413793
PFF_Baseline_1921	169.6
PFF_Colon_1917	212.75
PFF_Colon_1946	123.5625
PFF_Cecum_18	306.3333333333333
