	chao1
PFF_Jejunum_32	103.0
PFF_Jejunum_37	51.333333333333336
PFF_Jejunum_16	81.0
PFF_Jejunum_19	135.06666666666666
PFF_Jejunum_21	71.85714285714286
PFF_Jejunum_1910	79.0
PFF_Jejunum_1946	146.28571428571428
PFF_Jejunum_1938	58.375
PFF_Jejunum_1945	83.27272727272728
PFF_Jejunum_17	107.0
PFF_Jejunum_14	74.75
PFF_Jejunum_18	30.333333333333336
PFF_Jejunum_1942	57.54545454545455
PFF_Jejunum_28	134.4736842105263
PFF_Jejunum_1943	72.33333333333333
PFF_Jejunum_1906	34.8
PFF_Jejunum_1917	89.875
PFF_Jejunum_35	67.06666666666666
PFF_Jejunum_1921	41.0
PFF_Jejunum_30	80.6
PFF_Jejunum_1908	94.66666666666667
PFF_Jejunum_1937	55.666666666666664
PFF_Jejunum_1920	61.0
PFF_Jejunum_27	69.33333333333333
PFF_Jejunum_1944	50.75
PFF_Jejunum_1913	69.875
PFF_Jejunum_12	48.54545454545455
PFF_Jejunum_25	63.0
PFF_Jejunum_13	84.5
PFF_Jejunum_1904	67.0
PFF_Jejunum_36	143.55555555555554
PFF_Jejunum_15	46.0
PFF_Jejunum_1914	61.5
PFF_Jejunum_11	86.875
