	observed_otus
PFF_Cecum_11	193
PFF_Cecum_12	143
PFF_Cecum_13	170
PFF_Cecum_14	177
PFF_Cecum_15	161
PFF_Cecum_16	179
PFF_Cecum_17	231
PFF_Cecum_18	255
PFF_Cecum_19	129
PFF_Cecum_1904	163
PFF_Cecum_1906	186
PFF_Cecum_1907	171
PFF_Cecum_1908	145
PFF_Cecum_1910	148
PFF_Cecum_1913	181
PFF_Cecum_1914	174
PFF_Cecum_1917	174
PFF_Cecum_1920	225
PFF_Cecum_1921	180
PFF_Cecum_1937	194
PFF_Cecum_1938	154
PFF_Cecum_1941	182
PFF_Cecum_1942	151
PFF_Cecum_1943	160
PFF_Cecum_1944	178
PFF_Cecum_1945	157
PFF_Cecum_21	152
PFF_Cecum_25	141
PFF_Cecum_27	191
PFF_Cecum_28	218
PFF_Cecum_30	175
PFF_Cecum_32	182
PFF_Cecum_35	174
PFF_Cecum_36	153
PFF_Cecum_37	144
