	chao1
PFF_Baseline_11	210.0
PFF_Baseline_12	130.0
PFF_Baseline_13	136.0
PFF_Baseline_14	133.0
PFF_Baseline_15	143.0
PFF_Baseline_16	139.0
PFF_Baseline_17	98.0
PFF_Baseline_18	135.0
PFF_Baseline_19	122.0
PFF_Baseline_1921	133.0
PFF_Baseline_1937	164.0
PFF_Baseline_1942	134.0
PFF_Baseline_1943	129.0
PFF_Baseline_1944	155.0
PFF_Baseline_1946	130.0
PFF_Baseline_25	122.0
PFF_Baseline_26	145.0
PFF_Baseline_27	151.5
PFF_Baseline_28	125.0
PFF_Baseline_30	146.0
PFF_Baseline_32	179.6
PFF_Baseline_35	174.0
PFF_Baseline_36	143.0
PFF_Baseline_37	124.0
