	observed_features
PFF_Colon_1937	156
PFF_Colon_12	173
PFF_Colon_1910	168
PFF_Colon_1945	147
PFF_Colon_1914	150
PFF_Colon_1921	276
PFF_Colon_21	169
PFF_Colon_11	165
PFF_Colon_25	122
PFF_Colon_17	181
PFF_Colon_32	197
PFF_Colon_28	171
PFF_Colon_1941	240
PFF_Colon_18	193
PFF_Colon_14	151
PFF_Colon_36	225
PFF_Colon_30	136
PFF_Colon_15	183
PFF_Colon_1907	163
PFF_Colon_27	225
PFF_Colon_1938	147
PFF_Colon_19	157
PFF_Colon_1913	123
PFF_Colon_1906	192
PFF_Colon_16	164
PFF_Colon_1904	201
PFF_Colon_37	142
PFF_Colon_1908	190
PFF_Colon_35	176
PFF_Colon_1920	171
PFF_Colon_1944	193
PFF_Colon_1943	167
PFF_Colon_1942	166
PFF_Colon_13	152
PFF_Colon_1917	203
PFF_Colon_1946	121
