	shannon_entropy
PFF_Colon_1937	3.7590919858718723
PFF_Colon_12	4.068324422862095
PFF_Colon_1910	3.9927318880087563
PFF_Colon_1945	3.2349726768456746
PFF_Colon_1914	4.180418307271969
PFF_Colon_1921	5.8794562831484525
PFF_Colon_21	3.654802876558789
PFF_Colon_11	4.04926393237221
PFF_Colon_25	2.905176400681708
PFF_Colon_17	4.869099933780674
PFF_Colon_32	4.859765679519783
PFF_Colon_28	2.896036593895358
PFF_Colon_1941	4.282288648414504
PFF_Colon_18	2.837400780450111
PFF_Colon_14	2.9371302421931245
PFF_Colon_36	5.446862075718066
PFF_Colon_30	3.5993954086450404
PFF_Colon_15	5.142130943475769
PFF_Colon_1907	4.454408206443452
PFF_Colon_27	4.939449340115325
PFF_Colon_1938	3.98605203367256
PFF_Colon_19	3.55031175029351
PFF_Colon_1913	2.94198173109337
PFF_Colon_1906	5.0064615924859
PFF_Colon_16	2.9824059842988278
PFF_Colon_1904	4.107781237572666
PFF_Colon_37	3.7369044679226184
PFF_Colon_1908	4.331007209751052
PFF_Colon_35	5.456017156582213
PFF_Colon_1920	4.255899896515362
PFF_Colon_1944	4.573485535947297
PFF_Colon_1943	3.6149518879088327
PFF_Colon_1942	3.081363430701997
PFF_Colon_13	4.749418724449387
PFF_Colon_1917	4.687996521607151
PFF_Colon_1946	4.291499419462285
