	shannon_entropy
PFF_Jejunum_32	4.302542100133412
PFF_Jejunum_37	2.060398683810236
PFF_Jejunum_16	2.478476583054881
PFF_Jejunum_19	1.827497435691706
PFF_Jejunum_21	2.4814660958017662
PFF_Jejunum_1910	3.3517543931602156
PFF_Jejunum_1946	3.206188087754523
PFF_Jejunum_1938	2.671094847450709
PFF_Jejunum_1945	3.0621743127179637
PFF_Jejunum_17	2.870952579428265
PFF_Jejunum_14	3.801186968498374
PFF_Jejunum_18	0.823142174480597
PFF_Jejunum_1942	2.0665222975465474
PFF_Jejunum_28	4.053672034998569
PFF_Jejunum_1943	3.0736763303977854
PFF_Jejunum_1906	0.8543613826938419
PFF_Jejunum_1917	3.817028000407643
PFF_Jejunum_35	2.5886575641055374
PFF_Jejunum_1921	2.000305832499088
PFF_Jejunum_30	2.495915072539171
PFF_Jejunum_1908	1.4329865137593933
PFF_Jejunum_1937	2.146375839954277
PFF_Jejunum_1920	2.6692537054360694
PFF_Jejunum_27	1.2054699501754822
PFF_Jejunum_1944	1.3600499363174765
PFF_Jejunum_1913	2.5813322094775364
PFF_Jejunum_12	0.9113714172380936
PFF_Jejunum_25	1.8082968913246857
PFF_Jejunum_13	2.8305323145696355
PFF_Jejunum_1904	2.7279845257728383
PFF_Jejunum_36	3.7799834485743196
PFF_Jejunum_15	0.7155672737672634
PFF_Jejunum_1914	1.8544702630742587
PFF_Jejunum_11	3.6755156305771988
