	PFF_Colon_11	PFF_Colon_12	PFF_Colon_13	PFF_Colon_14	PFF_Colon_15	PFF_Colon_16	PFF_Colon_17	PFF_Colon_18	PFF_Colon_19	PFF_Colon_1904	PFF_Colon_1906	PFF_Colon_1907	PFF_Colon_1908	PFF_Colon_1910	PFF_Colon_1913	PFF_Colon_1914	PFF_Colon_1917	PFF_Colon_1920	PFF_Colon_1921	PFF_Colon_1937	PFF_Colon_1938	PFF_Colon_1941	PFF_Colon_1942	PFF_Colon_1943	PFF_Colon_1944	PFF_Colon_1945	PFF_Colon_1946	PFF_Colon_21	PFF_Colon_25	PFF_Colon_27	PFF_Colon_28	PFF_Colon_30	PFF_Colon_32	PFF_Colon_35	PFF_Colon_36	PFF_Colon_37	PFF_Baseline_11	PFF_Baseline_12	PFF_Baseline_13	PFF_Baseline_14	PFF_Baseline_15	PFF_Baseline_16	PFF_Baseline_17	PFF_Baseline_18	PFF_Baseline_19	PFF_Baseline_1921	PFF_Baseline_1937	PFF_Baseline_1942	PFF_Baseline_1943	PFF_Baseline_1944	PFF_Baseline_1946	PFF_Baseline_25	PFF_Baseline_26	PFF_Baseline_27	PFF_Baseline_28	PFF_Baseline_30	PFF_Baseline_32	PFF_Baseline_35	PFF_Baseline_36	PFF_Baseline_37
PFF_Colon_11	0.0	0.5001345460416554	0.39169296872927883	0.30563665473723867	0.5908892794376098	0.35055219516814434	0.5848558939023487	0.4705620763539828	0.3317165251959546	0.28991601560212243	0.4172841484092335	0.4263991610553041	0.4382950363652169	0.4010263742436235	0.4009871373018247	0.3646691478832992	0.4280352733686067	0.5763349135817147	0.5705273708103646	0.5695629626137382	0.44482081888324326	0.3946547244454309	0.2605909764880322	0.26679586563307495	0.4137530341372721	0.3405773692402573	0.42390426245669766	0.3874263799479523	0.25682815227133354	0.4129317890624009	0.42620215528597055	0.48973720787406666	0.44403391189780606	0.4801813586659724	0.6528727770177839	0.25044664017209317	0.40927708734465257	0.5377074965592787	0.596302313210748	0.4301045715706676	0.39742985762144056	0.4443431029553901	0.49010943992508926	0.45208794067906855	0.4832238901394568	0.5190051175414196	0.48507296536927963	0.4654909673469919	0.5129272806444589	0.425938825139617	0.5173743240536751	0.5833189783422335	0.47072063479952697	0.5103232694855732	0.49605170642003354	0.4948964096605089	0.4983314538215461	0.4707689130939783	0.5129145021119581	0.4821745350500715
PFF_Colon_12	0.5001345460416554	0.0	0.48046650946402397	0.48206135376614756	0.4061864131457005	0.5284733918901989	0.5771201429535219	0.5601396897587915	0.45925079063414054	0.49575834238495275	0.50384683338955	0.446698980444593	0.369279886484569	0.4459903793460391	0.515216348814047	0.4096485439193191	0.5081483007916473	0.5500942412209271	0.47083544670676036	0.5541958384813006	0.5822969296541003	0.5378191996747408	0.4471332718542309	0.4698322869690807	0.4313840456719642	0.3999278759466282	0.47485552482985877	0.4495096739994699	0.5122931507608726	0.4552404550742593	0.6013061175804023	0.47087260318492036	0.4898751442660791	0.6207997337246773	0.7024989166546295	0.4140926779534456	0.4395575814819378	0.5307697561641964	0.5979267328472283	0.5828118873990433	0.42061028005143164	0.5394379860894157	0.517287186299501	0.5338170268418758	0.5732521822695603	0.5330934431834834	0.6423896393259991	0.6128167147423403	0.4855865627978832	0.45424850771076325	0.5622044433869673	0.6097237137557356	0.5236753185750868	0.6236270066825409	0.51554294288417	0.5400783020811869	0.6302181524373822	0.5434273024489544	0.6539156367390244	0.586084040658074
PFF_Colon_13	0.39169296872927883	0.48046650946402397	0.0	0.40559249972746103	0.480130949383027	0.4736221390271664	0.5225748770675012	0.603301035963414	0.42825829643593005	0.3912454445693848	0.2926540471416618	0.28890858944050435	0.350109637673593	0.45341000988408664	0.5272694394213382	0.3435916183386231	0.4121891595717778	0.527104380125249	0.4700991365526063	0.5662243389088395	0.3849189929019321	0.5176761852039796	0.4130924096536201	0.43567947081350816	0.381199538638985	0.34788298963602277	0.3210352512485156	0.4765500406834825	0.4005953356272871	0.4828821596872259	0.5383780135287817	0.5164765274078785	0.3776343790759937	0.4138644516887718	0.5967402434861759	0.3901387141018934	0.3500505833951575	0.4061965597022432	0.45614428332499957	0.33014634447237345	0.33079437523128163	0.3677765392009564	0.40593083045713885	0.3544633287398561	0.44421178582111875	0.48549576793228694	0.47899236711210946	0.46277811000199337	0.4345045859708048	0.37649955173542426	0.47994965460718886	0.4500258141002352	0.3046706122631524	0.5049337383078714	0.3883902814282967	0.3495815866980412	0.47856441294364366	0.40226921093347084	0.4731744507821765	0.4206033596160439
PFF_Colon_14	0.30563665473723867	0.48206135376614756	0.40559249972746103	0.0	0.5487894881553623	0.18732946070168205	0.5973908925652659	0.2975271870887303	0.24441138371958807	0.31902436683423113	0.46640321629001497	0.42847409510290985	0.4051044776119403	0.4217947373938568	0.36512538943212314	0.3446648593599839	0.4900149594062713	0.5855792360611028	0.5832523091881381	0.5598837869860901	0.5184878129663406	0.37585323659965936	0.2370432842723835	0.3169967122868721	0.3971629325202174	0.3201271186440678	0.41335849375448874	0.38333239420747167	0.1675888564041849	0.4057833270405041	0.24040726486375164	0.47400253959767424	0.4655635194525558	0.5721678376370296	0.662216656230432	0.26961462265914105	0.41943040168274115	0.5045097132284921	0.563337528688828	0.4777710559924716	0.37505712826303195	0.46047566387166317	0.46190031058710007	0.46146857631466437	0.5014167408117172	0.5630856365478851	0.5791594346640219	0.5484181660089626	0.5254246774690062	0.41901289328271246	0.5751932807643901	0.5784588016495512	0.48773770834149077	0.5511325364855049	0.4979286568243112	0.4957739217734605	0.5815504241281809	0.5217852220926534	0.5943309359679466	0.5045228203541648
PFF_Colon_15	0.5908892794376098	0.4061864131457005	0.480130949383027	0.5487894881553623	0.0	0.5873543123543123	0.6348462551312835	0.6937257992666964	0.5380658436213992	0.5827532646838866	0.4629529292245174	0.48236831417421555	0.504108610217935	0.5630870657513641	0.6645171406730825	0.4479587820673369	0.4976196533052295	0.6921163116156119	0.4552062301701759	0.5762052226314027	0.531057332672963	0.6565925925925926	0.4942960046905101	0.5002397339726239	0.3569654769440522	0.5368247832992097	0.3948454329276822	0.6161905928037923	0.5887752882314553	0.5407061662538897	0.6970095506497573	0.6423435361588425	0.6089799396150926	0.5518776431683042	0.6292044645696718	0.4676399759181216	0.5254674034414636	0.5139889822089768	0.5363764986223843	0.5082389459432685	0.5299380932728023	0.5048769481759172	0.5312624983335555	0.5350407183470154	0.5433182524140725	0.4790958122917311	0.5866607209574198	0.5568793488249967	0.6057730671153746	0.5558721018336111	0.49174824738082973	0.5140369876707764	0.5258766202745311	0.5383223471629831	0.5421491869568958	0.5127734179328769	0.5806419836478518	0.4925135858544894	0.603618495198882	0.49999075084629757
PFF_Colon_16	0.35055219516814434	0.5284733918901989	0.4736221390271664	0.18732946070168205	0.5873543123543123	0.0	0.557876923076923	0.288865341178439	0.2818031687051659	0.37481903291188107	0.5169575784357048	0.477045737065455	0.4466236830635586	0.4513836701868185	0.35990679611650483	0.430819880440119	0.5693522444801872	0.5786988457502623	0.5590336745153838	0.5208674036763263	0.60958989834374	0.3642080263406472	0.29575228265184594	0.36070554152619505	0.46184321101284564	0.3693097825258698	0.5294834722458468	0.39312300602623185	0.25339262067038426	0.4255475217436865	0.17758267940848937	0.4849214501001869	0.4653638834028778	0.5792220735961392	0.6874047388111404	0.401223118953331	0.5166927052037015	0.5901689439909198	0.6572936545801527	0.6156759827926733	0.48901002285915246	0.553949333558768	0.5835901796152619	0.577253478523896	0.6292428917787084	0.6868974767373627	0.650115749151346	0.6575943574005276	0.5551173894060815	0.49237516699014444	0.6859294859372376	0.6458319754937105	0.5591827087218005	0.6528995907085526	0.5501392173049209	0.6132211997924801	0.6776952509565609	0.6425380994920068	0.6927024016620152	0.6358970555514352
PFF_Colon_17	0.5848558939023487	0.5771201429535219	0.5225748770675012	0.5973908925652659	0.6348462551312835	0.557876923076923	0.0	0.5587106676899463	0.5234664198836594	0.5718144843076549	0.5641645615301335	0.47462776697929837	0.45261500575281083	0.5243742884814708	0.4697650857975052	0.47215737303379385	0.478577265828696	0.34073795180722893	0.4175540163341259	0.38231563689074105	0.6791652249922605	0.38192960952547717	0.49902774061189903	0.4444644759485372	0.46004036501009127	0.5041237325435511	0.5862712877203465	0.5764165218853332	0.6004899333996785	0.4783648985643998	0.5790801925950523	0.43462364069539783	0.39511788189961666	0.556785581693611	0.5905819749643378	0.609235668789809	0.59075120065243	0.5880908651522475	0.6502116782490615	0.6932157537856164	0.5401071397207342	0.6127681648078847	0.5474655698119385	0.5502622453780341	0.6168429383408879	0.6701234929825204	0.6607968941045971	0.6586847249371683	0.5253948562223415	0.6192461908580593	0.7025179201085967	0.6531007751937985	0.6020487508029345	0.6351963746223565	0.5292886645250114	0.6987377777777778	0.6853502617878703	0.6601327471769675	0.6921805204508242	0.6434677403359844
PFF_Colon_18	0.4705620763539828	0.5601396897587915	0.603301035963414	0.2975271870887303	0.6937257992666964	0.288865341178439	0.5587106676899463	0.0	0.3525894636642175	0.43809733660175726	0.6154935470374304	0.5532296149917103	0.4717309777295914	0.47364086923370186	0.37387478974510635	0.5607663614784673	0.6414756693509532	0.5425637263891436	0.5951494908054532	0.5141329559303377	0.7200616532814148	0.33218448427121194	0.375248896888988	0.4320681459172978	0.5744825560725272	0.4490721500460763	0.6363606198360819	0.3698029908217291	0.3180726571067646	0.470046919933404	0.24982076711674034	0.4922528759034918	0.5058963710595945	0.6340406183692028	0.6898991506663001	0.4185150024452691	0.5781507074695623	0.6904888189299707	0.7558364731152505	0.7520739064856712	0.57233297202193	0.7106754530477759	0.6899746352695677	0.6714760337539579	0.7257935107031677	0.7572267536704731	0.7458137237813026	0.7749695398169265	0.6283818274629913	0.5294764883020616	0.7763410746473208	0.7931817292261928	0.6754098360655738	0.7609652497768475	0.6721081098746671	0.705456393317665	0.7638887015631954	0.698425695613886	0.7733990147783252	0.7456467335188394
PFF_Colon_19	0.3317165251959546	0.45925079063414054	0.42825829643593005	0.24441138371958807	0.5380658436213992	0.2818031687051659	0.5234664198836594	0.3525894636642175	0.0	0.2881377551020408	0.501001059945825	0.40112062779584423	0.35109349062837436	0.3640784181836017	0.2975103110858784	0.3617021276595745	0.49794998591593376	0.5324623648783076	0.5200499400390978	0.5060007059654077	0.5716171519259577	0.30259415668361633	0.26753496783979697	0.3180365327856589	0.40342513372777705	0.3076281306744753	0.42785346654556466	0.33428229628844436	0.2443108078588592	0.3594411044310844	0.3273942093541203	0.4639806196608441	0.39556121231405617	0.54516066103726	0.6347347761652359	0.309396080097732	0.4575087015065674	0.5268475705634176	0.6103476927010099	0.541636662153988	0.39855708998747175	0.5046175134614806	0.501295315682281	0.5011230811050545	0.5524491953482908	0.5828041618221388	0.5967160636317114	0.5867858575439803	0.47238968653687136	0.4006251836811029	0.5999725708016184	0.5663807045918009	0.4764602461418246	0.5736815329828726	0.46774554737769286	0.5302655690974141	0.6196124060103342	0.5643923815466652	0.6480541006431081	0.5546903554912835
PFF_Colon_1904	0.28991601560212243	0.49575834238495275	0.3912454445693848	0.31902436683423113	0.5827532646838866	0.37481903291188107	0.5718144843076549	0.43809733660175726	0.2881377551020408	0.0	0.4250013641076008	0.37233877453124337	0.3672752079965593	0.36326083840450346	0.3278073145693842	0.3929518432982636	0.4621979734996103	0.5619824646858256	0.5351455783134349	0.5896196002578982	0.5072045713657779	0.3311554974799328	0.277254101131953	0.3333586809120059	0.4405937331101122	0.3277000105248914	0.4718085106382979	0.3211980340815212	0.27514632885833445	0.41180278626547206	0.4230779077805371	0.4905857567060931	0.40693192643071735	0.5426852980063775	0.5874388071600294	0.3168748760658338	0.4264583481962379	0.5243704480484966	0.5778353245836031	0.5057609538321705	0.3888242919957767	0.4794478612974146	0.4980450902554116	0.4318583365436986	0.47387186326275105	0.5467667595838048	0.5450982812355355	0.4572781442860183	0.49682175394672784	0.36977491961414793	0.5466377163292675	0.5739110882693049	0.4698751395270358	0.528735028367304	0.49084476873540345	0.4545846934095875	0.4814380663236001	0.48756802340136773	0.4754130824927285	0.5212203727290029
