MouseID,5_min,10_min,15_min,30_min,45_min,60_min,Sex,Genotype,ASO_Tg
536,7,8,8,10,12,12,Male,HET,Positive
340,5,7,9,10,10,12,Male,HET,Positive
341,0,6,7,10,13,15,Male,HET,Negative
582,2,4,6,7,9,10,Male,HET,Positive
661,0,0,0,0,0,0,Male,MUT,Positive
669,0,0,0,1,1,2,Female,HET,Negative
326,0,4,4,4,5,5,Female,HET,Positive
320,2,4,4,6,6,6,Female,HET,Negative
327,6,8,10,13,13,13,Female,HET,Negative
328,6,7,8,10,16,18,Female,HET,Negative
336,0,4,7,8,8,8,Female,MUT,Positive
665,0,0,4,5,6,7,Female,MUT,Positive
667,0,4,6,7,9,12,Female,MUT,Positive
337,4,8,8,8,8,8,Male,HET,Positive
339,7,7,9,12,14,14,Male,HET,Negative
338,8,10,10,11,11,11,Male,HET,Negative
539,3,6,6,6,6,6,Female,HET,Negative
544,5,5,10,11,12,15,Female,HET,Positive
577,0,0,0,1,2,5,Female,HET,Positive
663,0,2,3,4,5,8,Male,WT,Positive
333,3,4,4,5,5,6,Male,HET,Negative
335,3,4,5,6,6,8,Male,HET,Negative
334,2,5,5,6,6,6,Male,HET,Positive
545,4,6,6,7,7,7,Male,HET,Negative
537,2,2,4,6,6,6,Male,WT,Negative
542,6,7,7,10,12,14,Female,MUT,Positive
332,1,1,1,3,4,4,Female,MUT,Negative
670,3,4,4,4,4,4,Female,WT,Negative
540,2,3,3,4,4,5,Female,WT,Positive
329,5,5,5,7,7,8,Male,HET,Negative
330,6,6,6,7,7,7,Male,HET,Negative
331,3,6,6,8,8,8,Male,HET,Positive
791,0,2,3,4,4,4,Male,WT,Positive
351,0,0,0,0,0,0,Female,HET,Positive
718,7,9,9,11,13,14,Female,HET,Negative
719,4,5,8,10,10,10,Female,HET,Positive
