Genotype,Time,Avg_FP,Std_Deviation,Std_Error
HET,5,3.68,2.51,0.50
HET,10,5.36,2.60,0.52
HET,15,6.12,2.99,0.60
HET,30,7.48,3.47,0.69
HET,45,8.28,4.13,0.83
HET,60,9.04,4.34,0.87
MUT,5,1.17,2.40,0.98
MUT,10,2.67,2.80,1.15
MUT,15,4.17,3.06,1.25
MUT,30,5.50,3.62,1.48
MUT,45,6.50,4.18,1.71
MUT,60,7.50,5.13,2.09
WT,5,1.40,1.34,0.60
WT,10,2.60,0.89,0.40
WT,15,3.40,0.55,0.24
WT,30,4.40,0.89,0.40
WT,45,4.60,0.89,0.40
WT,60,5.40,1.67,0.75
