Tg,Time,Avg_FP,Std_Deviation,Std_Error
POS,5,2.105263158,2.401266722,0.5508883673
POS,10,3.894736842,2.68524232,0.6160368374
POS,15,5.105263158,3.053135671,0.7004373606
POS,30,6.157894737,3.468319444,0.7956870506
POS,45,6.842105263,3.76036579,0.8626870774
POS,60,7.842105263,4.193422865,0.9620371839
NEG,5,3.882352941,2.497057091,0.6056253024
NEG,10,5.235294118,2.681636901,0.650392482
NEG,15,5.764705882,2.883778159,0.6994189383
NEG,30,7.352941176,3.334313581,0.8086898285
NEG,45,8.176470588,4.275442874,1.03694721
NEG,60,8.764705882,4.548755486,1.103235255
