	pielou_evenness
PFF_Colon_1937	0.5159759026261318
PFF_Colon_12	0.5472128932740609
PFF_Colon_1910	0.5401191074000032
PFF_Colon_1945	0.4493222082760212
PFF_Colon_1914	0.5782989567532232
PFF_Colon_1921	0.7250957081634787
PFF_Colon_21	0.49383359207845323
PFF_Colon_11	0.5496995399605642
PFF_Colon_25	0.41917277472576664
PFF_Colon_17	0.6492266650660917
PFF_Colon_32	0.6375928417482726
PFF_Colon_28	0.3904144208965719
PFF_Colon_1941	0.5415894651170314
PFF_Colon_18	0.37371311638940335
PFF_Colon_14	0.40577038007230687
PFF_Colon_36	0.6970840291561439
PFF_Colon_30	0.5078538666468762
PFF_Colon_15	0.6841852461007547
PFF_Colon_1907	0.6061468206411741
PFF_Colon_27	0.6321458483720326
PFF_Colon_1938	0.5536435330326349
PFF_Colon_19	0.4867027186893792
PFF_Colon_1913	0.42376313781279057
PFF_Colon_1906	0.6600509352564234
PFF_Colon_16	0.4053530280760331
PFF_Colon_1904	0.536891058036978
PFF_Colon_37	0.5226624670022598
PFF_Colon_1908	0.5721386818771806
PFF_Colon_35	0.7314253197187869
PFF_Colon_1920	0.5737374648491278
PFF_Colon_1944	0.6023722641429565
PFF_Colon_1943	0.4895851383963771
PFF_Colon_1942	0.4178097567322753
PFF_Colon_13	0.6552795562096999
PFF_Colon_1917	0.6115839634760131
PFF_Colon_1946	0.6202607671650909
