SampleID	Line	MouseID	Genotype	Sex
MPTP_Baseline_115_S118_L001_R1_001	MPTP	115	HET	Male
MPTP_Baseline_116_S64_L001_R1_001	MPTP	116	HET	Male
MPTP_Baseline_117_S43_L001_R1_001	MPTP	117	MUT	Male
MPTP_Baseline_118_S29_L001_R1_001	MPTP	118	HET	Male
MPTP_Baseline_119_S71_L001_R1_001	MPTP	119	WT	Female
MPTP_Baseline_121_S121_L001_R1_001	MPTP	121	WT	Male
MPTP_Baseline_165_S30_L001_R1_001	MPTP	165	HET	Male
MPTP_Baseline_167_S70_L001_R1_001	MPTP	167	MUT	Male
MPTP_Baseline_168_S33_L001_R1_001	MPTP	168	HET	Male
MPTP_Baseline_169_S112_L001_R1_001	MPTP	169	HET	Male
MPTP_Baseline_170_S39_L001_R1_001	MPTP	170	MUT	Female
MPTP_Baseline_171_S31_L001_R1_001	MPTP	171	HET	Female
MPTP_Baseline_172_S34_L001_R1_001	MPTP	172	HET	Female
MPTP_Baseline_173_S36_L001_R1_001	MPTP	173	WT	Male
MPTP_Baseline_174_S65_L001_R1_001	MPTP	174	MUT	Male
MPTP_Baseline_175_S120_L001_R1_001	MPTP	175	HET	Male
MPTP_Baseline_177_S24_L001_R1_001	MPTP	177	MUT	Female
MPTP_Baseline_178_S38_L001_R1_001	MPTP	178	WT	Female
MPTP_Baseline_179_S35_L001_R1_001	MPTP	179	HET	Female
MPTP_Baseline_427_S116_L001_R1_001	MPTP	427	WT	Female
MPTP_Baseline_434_S109_L001_R1_001	MPTP	434	HET	Female
MPTP_Baseline_435_S22_L001_R1_001	MPTP	435	HET	Female
MPTP_Baseline_436_S119_L001_R1_001	MPTP	436	HET	Female
MPTP_Baseline_437_S117_L001_R1_001	MPTP	437	HET	Male
MPTP_Baseline_465_S67_L001_R1_001	MPTP	465	HET	Male
MPTP_Baseline_466_S110_L001_R1_001	MPTP	466	MUT	Male
MPTP_Baseline_469_S108_L001_R1_001	MPTP	469	HET	Male
MPTP_Baseline_473_S56_L001_R1_001	MPTP	473	WT	Female
MPTP_Baseline_474_S4_L001_R1_001	MPTP	474	WT	Female
MPTP_Baseline_491_S18_L001_R1_001	MPTP	491	MUT	Female
MPTP_Baseline_494_S61_L001_R1_001	MPTP	494	WT	Female
MPTP_Baseline_501_S2_L001_R1_001	MPTP	501	MUT	Female
MPTP_Baseline_502_S12_L001_R1_001	MPTP	502	MUT	Female
MPTP_Baseline_503_S17_L001_R1_001	MPTP	503	MUT	Female
MPTP_Baseline_504_S3_L001_R1_001	MPTP	504	MUT	Female
MPTP_Baseline_505_S1_L001_R1_001	MPTP	505	WT	Female
MPTP_Baseline_507_S15_L001_R1_001	MPTP	507	WT	Male
