	observed_otus
PFF_Jejunum_11	75
PFF_Jejunum_12	45
PFF_Jejunum_13	64
PFF_Jejunum_14	69
PFF_Jejunum_15	39
PFF_Jejunum_16	70
PFF_Jejunum_17	77
PFF_Jejunum_18	24
PFF_Jejunum_19	103
PFF_Jejunum_1904	61
PFF_Jejunum_1906	43
PFF_Jejunum_1908	67
PFF_Jejunum_1910	51
PFF_Jejunum_1913	68
PFF_Jejunum_1914	56
PFF_Jejunum_1917	70
PFF_Jejunum_1920	46
PFF_Jejunum_1921	42
PFF_Jejunum_1937	58
PFF_Jejunum_1938	56
PFF_Jejunum_1942	63
PFF_Jejunum_1943	63
PFF_Jejunum_1944	48
PFF_Jejunum_1945	65
PFF_Jejunum_21	63
PFF_Jejunum_25	63
PFF_Jejunum_27	51
PFF_Jejunum_28	106
PFF_Jejunum_30	67
PFF_Jejunum_32	80
PFF_Jejunum_35	56
PFF_Jejunum_36	112
PFF_Jejunum_37	49
