	observed_otus
SLCLTDTT026	451
SLCLTDTT027	394
SLCLTDTT028	143
SLCLTDTT029	133
SLCLTDTT030	158
SLCLTDTT031	314
SLCLTDTT032	414
SLCLTDTT033	435
SLCLTDTT034	225
SLCLTDTT035	456
SLCLTDTT036	420
SLCLTDTT037	423
SLCLTDTT038	479
SLCLTDTT039	448
SLCLTDTT040	147
SLCLTDTT041	386
SLCLTDTT042	231
SLCLTDTT043	457
SLCLTDTT044	440
SLCLTDTT045	428
SLCLTDTT046	176
SLCLTDTT047	183
SLCLTDTT048	234
SLCLTDTT049	397
SLCLTDTT050	414
SLCLTDTT051	378
SLCLTDTT052	274
SLCLTDTT053	336
SLCLTDTT054	376
SLCLTDTT055	206
SLCLTDTT056	444
SLCLTDTT057	498
SLCLTDTT058	266
SLCLTDTT059	153
SLCLTDTT060	260
SLCLTDTT061	334
SLCLTDTT062	446
SLCLTDTT063	407
SLCLTDTT064	196
SLCLTDTT065	168
SLCLTDTT066	203
SLCLTDTT067	429
SLCLTDTT068	398
SLCLTDTT069	293
SLCLTDTT070	350
SLCLTDTT071	291
SLCLTDTT072	307
SLCLTDTT073	122
SLCLTDTT074	424
SLCLTDTT075	373
SLCLTDTT076	212
SLCLTDTT077	211
SLCLTDTT078	217
SLCLTDTT079	371
SLCLTDTT080	428
SLCLTDTT081	417
SLCLTDTT082	237
SLCLTDTT083	292
SLCLTDTT084	167
SLCLTDTT091	369
SLCLTDTT001	207
SLCLTDTT002	450
SLCLTDTT003	452
SLCLTDTT004	100
SLCLTDTT005	174
SLCLTDTT006	179
SLCLTDTT007	283
SLCLTDTT008	410
SLCLTDTT009	407
SLCLTDTT010	143
SLCLTDTT011	158
SLCLTDTT012	184
SLCLTDTT013	324
SLCLTDTT014	354
SLCLTDTT015	377
SLCLTDTT016	157
SLCLTDTT017	195
SLCLTDTT018	150
SLCLTDTT019	385
SLCLTDTT020	417
SLCLTDTT021	363
SLCLTDTT022	168
SLCLTDTT023	281
SLCLTDTT024	177
SLCLTDTT025	384
SLCLTDTT092	386
SLCLTDTT093	374
SLCLTDTT094	227
SLCLTDTT095	204
SLCLTDTT096	178
SLCLTDTT097	393
SLCLTDTT098	437
SLCLTDTT099	418
SLCLTDTT100	289
SLCLTDTT101	515
SLCLTDTT102	286
SLCLTDTT103	464
SLCLTDTT104	421
SLCLTDTT105	403
SLCLTDTT106	121
SLCLTDTT107	172
SLCLTDTT108	161
SLCLTDTT109	357
SLCLTDTT110	354
SLCLTDTT111	377
SLCLTDTT112	311
SLCLTDTT113	222
SLCLTDTT114	167
SLCLTDTT115	429
SLCLTDTT116	408
SLCLTDTT117	436
SLCLTDTT118	219
SLCLTDTT119	157
SLCLTDTT120	255
SLCLTDTT121	454
SLCLTDTT122	433
SLCLTDTT123	388
SLCLTDTT124	218
SLCLTDTT125	304
SLCLTDTT126	148
SLCLTDTT127	353
SLCLTDTT128	382
SLCLTDTT130	285
SLCLTDTT131	176
SLCLTDTT132	130
SLCLTDTT133	423
SLCLTDTT134	335
SLCLTDTT135	395
SLCLTDTT136	188
SLCLTDTT137	303
SLCLTDTT138	203
SLCLTDTT139	415
SLCLTDTT140	431
SLCLTDTT141	422
SLCLTDTT142	283
SLCLTDTT143	155
SLCLTDTT144	189
SLCLTDTT145	349
SLCLTDTT146	400
SLCLTDTT147	385
SLCLTDTT148	245
SLCLTDTT149	267
SLCLTDTT150	133
SLCLTDTT151	500
SLCLTDTT152	457
SLCLTDTT153	435
SLCLTDTT154	226
SLCLTDTT155	238
SLCLTDTT156	342
SLCLTDTT157	272
SLCLTDTT158	449
SLCLTDTT159	399
SLCLTDTT160	128
SLCLTDTT161	435
SLCLTDTT162	153
SLCLTDTT163	394
SLCLTDTT164	421
SLCLTDTT165	377
SLCLTDTT166	272
SLCLTDTT167	182
SLCLTDTT168	251
SLCLTDTT169	271
SLCLTDTT170	457
SLCLTDTT171	403
SLCLTDTT172	214
SLCLTDTT173	166
SLCLTDTT174	157
SLCLTDTT175	540
SLCLTDTT176	422
SLCLTDTT177	396
SLCLTDTT178	157
SLCLTDTT179	180
SLCLTDTT180	190
SLCLTDTT181	387
SLCLTDTT182	382
SLCLTDTT183	354
SLCLTDTT184	331
SLCLTDTT185	171
SLCLTDTT186	222
SLCLTFP001	326
SLCLTFP002	433
SLCLTFP003	400
SLCLTFP004	125
SLCLTFP005	164
SLCLTFP006	321
SLCLTFP007	343
SLCLTFP008	359
SLCLTFP009	394
SLCLTFP010	136
SLCLTFP011	128
SLCLTFP012	142
SLCLTFP013	289
SLCLTFP014	308
SLCLTFP015	389
SLCLTFP016	159
SLCLTFP017	315
SLCLTFP018	168
SLCLTFP019	283
SLCLTFP020	403
SLCLTFP021	339
SLCLTFP022	150
SLCLTFP023	145
SLCLTFP024	122
SLCLTFP025	286
SLCLTFP026	353
SLCLTFP027	380
SLCLTFP028	145
SLCLTFP029	151
SLCLTFP030	126
SLCLTFP031	335
SLCLTFP032	373
SLCLTFP033	339
SLCLTFP034	167
SLCLTFP035	148
SLCLTFP036	150
SLCLTFP037	245
SLCLTFP038	356
SLCLTFP039	363
SLCLTFP040	128
SLCLTFP041	131
SLCLTFP042	127
SLCLTFP043	308
SLCLTFP044	479
SLCLTFP045	358
SLCLTFP046	136
SLCLTFP047	136
SLCLTFP048	135
SLCLTFP049	392
SLCLTFP050	377
SLCLTFP051	389
SLCLTFP052	140
SLCLTFP053	255
SLCLTFP054	361
SLCLTFP055	380
SLCLTFP056	421
SLCLTFP057	416
SLCLTFP058	153
SLCLTFP059	210
SLCLTFP060	221
SLCLTFP061	279
SLCLTFP062	375
SLCLTFP063	376
SLCLTFP064	238
SLCLTFP065	242
SLCLTFP066	229
SLCLTFP067	415
SLCLTFP068	418
SLCLTFP069	420
SLCLTFP070	172
SLCLTFP071	181
SLCLTFP072	171
SLCLTFP073	424
SLCLTFP074	394
SLCLTFP075	391
SLCLTFP076	206
SLCLTFP077	199
SLCLTFP078	182
SLCLTFP079	314
SLCLTFP080	371
SLCLTFP081	430
SLCLTFP082	242
SLCLTFP083	246
SLCLTFP084	197
SLCLTFP091	252
SLCLTFP092	345
SLCLTFP093	307
SLCLTFP094	204
SLCLTFP095	123
SLCLTFP096	294
SLCLTFP097	248
SLCLTFP098	357
SLCLTFP099	365
SLCLTFP100	194
SLCLTFP101	167
SLCLTFP102	145
SLCLTFP103	327
SLCLTFP104	386
SLCLTFP105	421
SLCLTFP106	185
SLCLTFP107	148
SLCLTFP108	208
SLCLTFP109	377
SLCLTFP110	410
SLCLTFP111	337
SLCLTFP112	236
SLCLTFP113	170
SLCLTFP114	181
SLCLTFP115	395
SLCLTFP116	447
SLCLTFP117	420
SLCLTFP118	166
SLCLTFP119	145
SLCLTFP120	150
SLCLTFP121	385
SLCLTFP122	400
SLCLTFP123	372
SLCLTFP124	224
SLCLTFP125	199
SLCLTFP126	192
