OTU ID,PFF_Jejunum_32,PFF_Jejunum_37,PFF_Jejunum_16,PFF_Jejunum_19,PFF_Jejunum_21,PFF_Jejunum_1910,PFF_Jejunum_1946,PFF_Jejunum_1938,PFF_Jejunum_1945,PFF_Jejunum_17,PFF_Jejunum_14,PFF_Jejunum_18,PFF_Jejunum_1942,PFF_Jejunum_28,PFF_Jejunum_1943,PFF_Jejunum_1906,PFF_Jejunum_1917,PFF_Jejunum_35,PFF_Jejunum_1921,PFF_Jejunum_30,PFF_Jejunum_1908,PFF_Jejunum_1937,PFF_Jejunum_1920,PFF_Jejunum_27,PFF_Jejunum_1944,PFF_Jejunum_1913,PFF_Jejunum_12,PFF_Jejunum_25,PFF_Jejunum_13,PFF_Jejunum_1904,PFF_Jejunum_36,PFF_Jejunum_15,PFF_Jejunum_1914,PFF_Jejunum_11,taxonomy
5f2c3a1008eb58b94637e695d76c31b6,3376.0,13008.0,14711.0,12990.0,8369.0,2856.0,4434.0,1839.0,6467.0,2762.0,3359.0,18891.0,12023.0,4651.0,6826.0,20480.0,3165.0,933.0,2522.0,11135.0,14090.0,15623.0,2036.0,19517.0,16074.0,9161.0,18364.0,14475.0,10540.0,12147.0,1102.0,21768.0,13486.0,4354.0,
29f4488f73396a6d546aeb0e3caa6e4c,1383.0,299.0,45.0,109.0,706.0,605.0,84.0,755.0,354.0,51.0,310.0,2.0,78.0,145.0,260.0,52.0,81.0,323.0,15.0,439.0,25.0,53.0,194.0,62.0,33.0,186.0,143.0,414.0,592.0,1401.0,17.0,77.0,64.0,407.0,
5e64a9ff57614afca249dbb59ddb6808,1061.0,317.0,3.0,66.0,0.0,1662.0,74.0,0.0,0.0,2476.0,2.0,711.0,38.0,5.0,0.0,0.0,610.0,1327.0,295.0,2.0,630.0,0.0,2854.0,7.0,0.0,0.0,0.0,30.0,32.0,0.0,192.0,0.0,413.0,8.0,
3acc88b0dabf67b3994a9f8447c7e18c,910.0,614.0,10.0,169.0,8.0,2976.0,119.0,0.0,0.0,4676.0,0.0,1008.0,91.0,7.0,0.0,156.0,1856.0,7092.0,6514.0,0.0,593.0,0.0,7160.0,43.0,0.0,0.0,14.0,46.0,42.0,0.0,838.0,0.0,398.0,46.0,
ac26aa89cf6ac1100fcbf261b6e3578b,904.0,47.0,658.0,144.0,191.0,190.0,75.0,264.0,646.0,238.0,730.0,18.0,397.0,1268.0,1248.0,10.0,543.0,140.0,29.0,503.0,43.0,1117.0,263.0,283.0,253.0,386.0,45.0,332.0,794.0,686.0,103.0,73.0,431.0,413.0,
7a5410f51ce0e7013ec453ed9dfbbc53,664.0,0.0,0.0,33.0,0.0,61.0,59.0,0.0,0.0,51.0,0.0,0.0,0.0,2.0,2.0,35.0,42.0,0.0,0.0,126.0,36.0,16.0,181.0,10.0,0.0,53.0,0.0,2.0,0.0,217.0,5160.0,0.0,23.0,9.0,
c1ebc4a0786814ccbfd9065623ffb619,605.0,79.0,363.0,88.0,41.0,129.0,56.0,265.0,117.0,56.0,295.0,9.0,327.0,1195.0,173.0,20.0,351.0,50.0,11.0,341.0,20.0,478.0,165.0,40.0,153.0,322.0,46.0,92.0,500.0,302.0,24.0,94.0,194.0,254.0,
d940b7110a4a4a094786ff66332c79a1,364.0,49.0,41.0,43.0,154.0,91.0,27.0,18.0,150.0,14.0,235.0,0.0,16.0,181.0,36.0,0.0,96.0,48.0,6.0,248.0,6.0,32.0,52.0,32.0,55.0,145.0,89.0,30.0,63.0,145.0,37.0,42.0,30.0,139.0,
365349b4c763aebf5965a03a02d936f7,334.0,68.0,36.0,50.0,166.0,88.0,35.0,31.0,183.0,23.0,232.0,2.0,37.0,163.0,39.0,0.0,91.0,32.0,5.0,322.0,9.0,33.0,34.0,24.0,45.0,166.0,95.0,25.0,79.0,149.0,42.0,43.0,37.0,146.0,
743feb5d7d9f922cf856d4aceba58743,296.0,5.0,1553.0,142.0,0.0,53.0,52.0,190.0,397.0,70.0,460.0,0.0,81.0,944.0,169.0,0.0,17.0,3.0,0.0,273.0,48.0,449.0,41.0,196.0,42.0,392.0,10.0,119.0,646.0,380.0,17.0,0.0,166.0,53.0,
