	shannon_entropy
PFF_Baseline_19	4.161568233962352
PFF_Baseline_1944	4.468128612078292
PFF_Baseline_26	4.900241502815181
PFF_Baseline_37	4.638336241375451
PFF_Baseline_12	4.735017534447586
PFF_Baseline_15	4.363884842606281
PFF_Baseline_1946	4.358556130687098
PFF_Baseline_25	4.774127385226501
PFF_Baseline_1942	4.539005494308745
PFF_Baseline_17	4.048781267674401
PFF_Baseline_28	4.478560987416198
PFF_Baseline_11	5.218389846041473
PFF_Baseline_30	5.094967571683859
PFF_Baseline_18	4.681236604455123
PFF_Baseline_35	5.0941885627626124
PFF_Baseline_16	4.7006723009790425
PFF_Baseline_36	4.588902348024571
PFF_Baseline_32	4.840448088990006
PFF_Baseline_1937	4.8013572025730555
PFF_Baseline_1943	4.423175667823308
PFF_Baseline_27	4.679995793895417
PFF_Baseline_13	4.911327059157069
PFF_Baseline_14	4.567590595488889
PFF_Baseline_1921	4.345600715851943
