	pielou_e
PFF_Colon_11	0.633404214782818
PFF_Colon_12	0.6250801529249692
PFF_Colon_13	0.741851534148854
PFF_Colon_14	0.5148273559631618
PFF_Colon_15	0.7446017316003882
PFF_Colon_16	0.5120223600446454
PFF_Colon_17	0.7412780019227337
PFF_Colon_18	0.5096150905296996
PFF_Colon_19	0.5953349308323337
PFF_Colon_1904	0.6325605634987649
PFF_Colon_1906	0.7363692024934276
PFF_Colon_1907	0.691359853999344
PFF_Colon_1908	0.6819598628106467
PFF_Colon_1910	0.6315386045800296
PFF_Colon_1913	0.5301619479969912
PFF_Colon_1914	0.6694024187942985
PFF_Colon_1917	0.7004475653517366
PFF_Colon_1920	0.6740993781742539
PFF_Colon_1921	0.8148488922191843
PFF_Colon_1937	0.6218189091509686
PFF_Colon_1938	0.6416867499820291
PFF_Colon_1941	0.6517086007088152
PFF_Colon_1942	0.5180727735050442
PFF_Colon_1943	0.5866392241162036
PFF_Colon_1944	0.6786471157123647
PFF_Colon_1945	0.5518007508907381
PFF_Colon_1946	0.7009882939913556
PFF_Colon_21	0.6114597292321738
PFF_Colon_25	0.5004632132446571
PFF_Colon_27	0.7295460516882099
PFF_Colon_28	0.5147574348596509
PFF_Colon_30	0.6300219598284004
PFF_Colon_32	0.7352712880420708
PFF_Colon_35	0.7967556721420634
PFF_Colon_36	0.7656958451036581
PFF_Colon_37	0.6201771560700748
PFF_Baseline_11	0.7536647073493388
PFF_Baseline_12	0.7239214802202505
PFF_Baseline_13	0.7400630712634716
PFF_Baseline_14	0.7006535505785592
PFF_Baseline_15	0.6696368808339319
PFF_Baseline_16	0.7184446900301465
PFF_Baseline_17	0.6647309409538719
PFF_Baseline_18	0.7228422473077185
PFF_Baseline_19	0.6774918248040445
PFF_Baseline_1921	0.6683467887859458
PFF_Baseline_1937	0.7083552355933664
PFF_Baseline_1942	0.6995379308973537
PFF_Baseline_1943	0.6956409216684326
PFF_Baseline_1944	0.6991074717709036
PFF_Baseline_1946	0.6717594374067548
PFF_Baseline_25	0.7217805250471531
PFF_Baseline_26	0.7396693792550688
PFF_Baseline_27	0.7068076439204389
PFF_Baseline_28	0.708861357461713
PFF_Baseline_30	0.7636675002290497
PFF_Baseline_32	0.7141860420353779
PFF_Baseline_35	0.7449012404300166
PFF_Baseline_36	0.7062083433371891
PFF_Baseline_37	0.71370690091673
