	pielou_e
MPTP_Baseline_115_S118_L001_R1_001	0.7529896474963368
MPTP_Baseline_116_S64_L001_R1_001	0.8357283755180493
MPTP_Baseline_117_S43_L001_R1_001	0.694219075769404
MPTP_Baseline_118_S29_L001_R1_001	0.7419274392782774
MPTP_Baseline_119_S71_L001_R1_001	0.6605989594594506
MPTP_Baseline_121_S121_L001_R1_001	0.7452508862178822
MPTP_Baseline_165_S30_L001_R1_001	0.7227367070952302
MPTP_Baseline_167_S70_L001_R1_001	0.764867133813032
MPTP_Baseline_168_S33_L001_R1_001	0.7080731316214481
MPTP_Baseline_169_S112_L001_R1_001	0.7763573288874918
MPTP_Baseline_170_S39_L001_R1_001	0.757714837831637
MPTP_Baseline_171_S31_L001_R1_001	0.6529948362020415
MPTP_Baseline_172_S34_L001_R1_001	0.6292727373066848
MPTP_Baseline_173_S36_L001_R1_001	0.6902042977220688
MPTP_Baseline_174_S65_L001_R1_001	0.7425868062289152
MPTP_Baseline_175_S120_L001_R1_001	0.7034728027446427
MPTP_Baseline_177_S24_L001_R1_001	0.7159164000978117
MPTP_Baseline_178_S38_L001_R1_001	0.7937781221328772
MPTP_Baseline_179_S35_L001_R1_001	0.6955566616158226
MPTP_Baseline_427_S116_L001_R1_001	0.6601141555922209
MPTP_Baseline_434_S109_L001_R1_001	0.698428622860834
MPTP_Baseline_435_S22_L001_R1_001	0.7355669591172113
MPTP_Baseline_436_S119_L001_R1_001	0.7908053385380052
MPTP_Baseline_437_S117_L001_R1_001	0.6556713475558977
MPTP_Baseline_465_S67_L001_R1_001	0.7361053500281558
MPTP_Baseline_466_S110_L001_R1_001	0.7324842891326654
MPTP_Baseline_469_S108_L001_R1_001	0.6610451515421581
MPTP_Baseline_473_S56_L001_R1_001	0.6800462005120592
MPTP_Baseline_474_S4_L001_R1_001	0.5955947740952284
MPTP_Baseline_491_S18_L001_R1_001	0.6924026196083588
MPTP_Baseline_494_S61_L001_R1_001	0.7894907425150932
MPTP_Baseline_501_S2_L001_R1_001	0.6983112570670444
MPTP_Baseline_502_S12_L001_R1_001	0.6622001328861581
MPTP_Baseline_503_S17_L001_R1_001	0.7536410179847935
MPTP_Baseline_504_S3_L001_R1_001	0.6314002397510384
MPTP_Baseline_505_S1_L001_R1_001	0.7730472332764674
MPTP_Baseline_507_S15_L001_R1_001	0.7099224845269405
MPTP_Baseline_508_S6_L001_R1_001	0.703677746603302
MPTP_Baseline_509_S11_L001_R1_001	0.78792847469263
MPTP_Baseline_510_S20_L001_R1_001	0.7595362379664761
MPTP_Baseline_511_S16_L001_R1_001	0.8150414540453352
MPTP_Baseline_513_S13_L001_R1_001	0.7048263543489982
MPTP_Baseline_514_S8_L001_R1_001	0.7380778172119189
MPTP_Baseline_515_S5_L001_R1_001	0.6899250744370498
MPTP_Baseline_531_S14_L001_R1_001	0.6285544314980043
MPTP_Baseline_550_S63_L001_R1_001	0.7727932555148491
MPTP_Baseline_583_S7_L001_R1_001	0.536927048197987
MPTP_Baseline_584_S113_L001_R1_001	0.7061112790660103
MPTP_Baseline_585_S62_L001_R1_001	0.6398585011120135
MPTP_Baseline_586_S23_L001_R1_001	0.6810808230102888
MPTP_Baseline_587_S27_L001_R1_001	0.6959917368959639
MPTP_Baseline_590_S25_L001_R1_001	0.7204466420749464
MPTP_Baseline_593_S37_L001_R1_001	0.7142158139866817
MPTP_Baseline_595_S19_L001_R1_001	0.679145112968269
MPTP_Baseline_596_S9_L001_R1_001	0.7228786467920316
MPTP_Baseline_597_S69_L001_R1_001	0.7052086660596696
MPTP_Baseline_599_S21_L001_R1_001	0.7144969224571023
MPTP_Baseline_606_S32_L001_R1_001	0.7508253748941384
MPTP_Baseline_608_S28_L001_R1_001	0.7303749144573939
MPTP_Baseline_609_S111_L001_R1_001	0.7430687331334876
MPTP_Baseline_611_S10_L001_R1_001	0.7221962697602089
MPTP_Baseline_612_S26_L001_R1_001	0.5519471329190896
MPTP_Baseline_613_S68_L001_R1_001	0.5530001739245223
PFF_Baseline_11_S57_L001_R1_001	0.7550099332922988
PFF_Baseline_12_S48_L001_R1_001	0.7262534530621769
PFF_Baseline_13_S53_L001_R1_001	0.7402688534649455
PFF_Baseline_14_S66_L001_R1_001	0.7007349148014517
PFF_Baseline_15_S123_L001_R1_001	0.6680804158169715
PFF_Baseline_16_S50_L001_R1_001	0.7189986606314067
PFF_Baseline_17_S58_L001_R1_001	0.6678408231799418
PFF_Baseline_18_S115_L001_R1_001	0.7208708249524765
PFF_Baseline_19_S73_L001_R1_001	0.6822772191785631
PFF_Baseline_1921_S54_L001_R1_001	0.6735778963668287
PFF_Baseline_1937_S51_L001_R1_001	0.7064817837798973
PFF_Baseline_1942_S40_L001_R1_001	0.6996588722072095
PFF_Baseline_1943_S55_L001_R1_001	0.6909395626984774
PFF_Baseline_1944_S114_L001_R1_001	0.6979234128748787
PFF_Baseline_1946_S42_L001_R1_001	0.6754009884191048
PFF_Baseline_25_S44_L001_R1_001	0.7214129054764201
PFF_Baseline_26_S46_L001_R1_001	0.7432054653455394
PFF_Baseline_27_S72_L001_R1_001	0.7061774527548051
PFF_Baseline_28_S59_L001_R1_001	0.7114588414240577
PFF_Baseline_30_S45_L001_R1_001	0.7658123813003722
PFF_Baseline_32_S49_L001_R1_001	0.7163488151377277
PFF_Baseline_35_S122_L001_R1_001	0.7455792782813396
PFF_Baseline_36_S41_L001_R1_001	0.6994925165210157
PFF_Baseline_37_S47_L001_R1_001	0.715969701426547
Q22_WT_107_S28_L001_R1_001	0.7152551000766821
Q22_WT_108_S21_L001_R1_001	0.6512017219137074
Q22_WT_109_S23_L001_R1_001	0.6575548861712731
Q22_WT_37_S101_L001_R1_001	0.6542667877541742
Q22_WT_405_S124_L001_R1_001	0.7179533068394012
Q22_WT_408_S13_L001_R1_001	0.6394286285864499
Q22_WT_411_S125_L001_R1_001	0.717281371145348
Q22_WT_517_S27_L001_R1_001	0.6490426603829049
Q22_WT_518_S22_L001_R1_001	0.7281734262502789
Q22_WT_562_S26_L001_R1_001	0.7549193650373952
Q22_WT_564_S19_L001_R1_001	0.6861586920320291
Q22_WT_567_S12_L001_R1_001	0.6880363894028119
Q22_WT_568_S104_L001_R1_001	0.5782560495280039
Q22_WT_569_S16_L001_R1_001	0.6788105029424031
Q22_WT_570_S17_L001_R1_001	0.7460907482308652
Q22_WT_571_S20_L001_R1_001	0.6324863178683742
Q22_WT_573_S18_L001_R1_001	0.7194380313655531
Q22_WT_675_S98_L001_R1_001	0.6804568524396027
Q22_WT_678_S105_L001_R1_001	0.7194387017437952
Q22_WT_681_S87_L001_R1_001	0.6152578691017397
Q22_WT_685_S86_L001_R1_001	0.7059119575547784
Q22_WT_686_S103_L001_R1_001	0.6807649253788399
Q22_WT_688_S99_L001_R1_001	0.7265319478271043
Q22_WT_704_S102_L001_R1_001	0.659595087741803
Q22_WT_706_S30_L001_R1_001	0.6729652150617299
Q22_WT_708_S85_L001_R1_001	0.639260402993463
Q22_WT_729_S95_L001_R1_001	0.687282999471124
Q22_WT_731_S94_L001_R1_001	0.6633569814336728
Q22_WT_732_S92_L001_R1_001	0.68044660511619
Q22_WT_733_S91_L001_R1_001	0.6685373267880306
Q22_WT_736_S97_L001_R1_001	0.6886375210645008
Q22_WT_739_S29_L001_R1_001	0.6213441630833282
Q22_WT_740_S88_L001_R1_001	0.6717756404702305
Q22_WT_741_S100_L001_R1_001	0.7226621461409753
Q22_WT_743_S93_L001_R1_001	0.7231941019004682
Q22_WT_744_S106_L001_R1_001	0.7235097905522445
Q22_WT_750_S89_L001_R1_001	0.7328671908043703
Q22_WT_751_S96_L001_R1_001	0.6557347948032377
Q22_WT_752_S90_L001_R1_001	0.691583222510261
Q22_WT_782_S25_L001_R1_001	0.5906317796220117
