	shannon
MPTP_Baseline_115_S118_L001_R1_001	5.270927532474357
MPTP_Baseline_116_S64_L001_R1_001	6.01697047301232
MPTP_Baseline_117_S43_L001_R1_001	4.89035277489645
MPTP_Baseline_118_S29_L001_R1_001	5.304593571861349
MPTP_Baseline_119_S71_L001_R1_001	4.319761506358064
MPTP_Baseline_121_S121_L001_R1_001	5.534430389730361
MPTP_Baseline_165_S30_L001_R1_001	5.0753229891997185
MPTP_Baseline_167_S70_L001_R1_001	5.572364713816272
MPTP_Baseline_168_S33_L001_R1_001	5.069712519439318
MPTP_Baseline_169_S112_L001_R1_001	5.663232279856778
MPTP_Baseline_170_S39_L001_R1_001	5.3862344559898965
MPTP_Baseline_171_S31_L001_R1_001	4.4195894145429335
MPTP_Baseline_172_S34_L001_R1_001	4.486263439107019
MPTP_Baseline_173_S36_L001_R1_001	4.862071096029273
MPTP_Baseline_174_S65_L001_R1_001	5.2941115062552075
MPTP_Baseline_175_S120_L001_R1_001	5.138011113552511
MPTP_Baseline_177_S24_L001_R1_001	5.133066896003878
MPTP_Baseline_178_S38_L001_R1_001	5.921133622420522
MPTP_Baseline_179_S35_L001_R1_001	5.021340755734699
MPTP_Baseline_427_S116_L001_R1_001	4.613329690708893
MPTP_Baseline_434_S109_L001_R1_001	4.927611195321327
MPTP_Baseline_435_S22_L001_R1_001	5.2591177471511
MPTP_Baseline_436_S119_L001_R1_001	5.7686250308336
MPTP_Baseline_437_S117_L001_R1_001	4.63303222145761
MPTP_Baseline_465_S67_L001_R1_001	5.342202018235358
MPTP_Baseline_466_S110_L001_R1_001	5.469903742875691
MPTP_Baseline_469_S108_L001_R1_001	4.7396441591243414
MPTP_Baseline_473_S56_L001_R1_001	4.663743918920416
MPTP_Baseline_474_S4_L001_R1_001	4.015182506836031
MPTP_Baseline_491_S18_L001_R1_001	5.018483997039837
MPTP_Baseline_494_S61_L001_R1_001	5.620338073425676
MPTP_Baseline_501_S2_L001_R1_001	4.903798495103051
MPTP_Baseline_502_S12_L001_R1_001	4.707265839903009
MPTP_Baseline_503_S17_L001_R1_001	5.341402710609303
MPTP_Baseline_504_S3_L001_R1_001	4.368571906819825
MPTP_Baseline_505_S1_L001_R1_001	5.565686786672848
MPTP_Baseline_507_S15_L001_R1_001	5.031549229252811
MPTP_Baseline_508_S6_L001_R1_001	4.901667388755712
MPTP_Baseline_509_S11_L001_R1_001	5.824617391373823
MPTP_Baseline_510_S20_L001_R1_001	5.671917026127617
MPTP_Baseline_511_S16_L001_R1_001	5.945418301885904
MPTP_Baseline_513_S13_L001_R1_001	4.909668342539924
MPTP_Baseline_514_S8_L001_R1_001	5.291962594637706
MPTP_Baseline_515_S5_L001_R1_001	5.045341317273992
MPTP_Baseline_531_S14_L001_R1_001	4.16691148153167
MPTP_Baseline_550_S63_L001_R1_001	5.477143482430373
MPTP_Baseline_583_S7_L001_R1_001	3.8167590536211016
MPTP_Baseline_584_S113_L001_R1_001	4.859911886939676
MPTP_Baseline_585_S62_L001_R1_001	4.528160620575064
