MouseID,Day,T1_S,T1_RPM,T2_S,T2_RPM,T3_S,T3_RPM,Average_Latency_S,Standard_Deviation,Cohort,Genotype,Sex
907,1,25.5,9.4,56.7,14.9,43.7,12.7,41.96666667,15.67205581,Three,WT,Male
907,2,73.2,18.2,130,28.1,153,32.5,118.7333333,41.07570247,Three,WT,Male
907,3,147,31.4,158,33.6,139,30.3,148,9.539392014,Three,WT,Male
951,1,68.3,17.1,29.3,9.4,13.8,17.2,37.13333333,28.08172597,Three,WT,Male
951,2,20.4,8.3,94.4,21.5,74.1,18.2,62.96666667,38.23562911,Three,WT,Male
951,3,125,27,122,27,110,24.8,119,7.937253933,Three,WT,Male
904,1,44.2,12.7,47.7,12.7,37.8,11.6,43.23333333,5.020292156,Three,WT,Female
904,2,42.5,12.7,97,22.6,105,23.7,81.5,34.01102762,Three,WT,Female
904,3,75.8,18.2,82,19.3,87.8,20.4,81.86666667,6.001111008,Three,WT,Female
972,1,41.8,11.6,79.9,19.3,79,19.3,66.9,21.74189504,Three,WT,Female
972,2,80.5,19.3,58.2,14.9,97,22.6,78.56666667,19.47211682,Three,WT,Female
972,3,108,24.8,134,29.2,127,28.1,123,13.45362405,Three,WT,Female
975,1,52.2,13.8,89.5,20.4,89.6,20.4,77.1,21.56409052,Three,HET,Female
975,2,96.2,22.6,96.6,22.6,125,27,105.9333333,16.51342888,Three,HET,Female
975,3,101,22.6,141,30.3,164,34.7,135.3333333,31.87998327,Three,HET,Female
903,1,40.4,11.6,76.3,18.2,82.9,19.3,66.53333333,22.87145237,Three,HET,Male
903,2,38.3,11.6,50.7,13.8,108,24.8,65.66666667,37.18229866,Three,HET,Male
903,3,64.7,16,117,25.9,75,18.2,85.56666667,27.70493338,Three,HET,Male
952,1,25.1,9.4,55.9,14.9,62.1,16,47.7,19.81615503,Three,MUT,Male
952,2,86.9,20.4,123,27,87.1,20.4,99,20.78485025,Three,MUT,Male
952,3,114,25.9,133,29.2,125,27,124,9.539392014,Three,MUT,Male
953,1,33,10.5,35.7,10.5,43.5,12.7,37.4,5.452522352,Three,MUT,Male
953,2,87.3,20.4,65.8,16,96.3,22.6,83.13333333,15.67109866,Three,MUT,Male
953,3,69.3,17.1,72.2,18.2,56.9,14.9,66.13333333,8.126704949,Three,MUT,Male
113,1,20.8,8.3,35.2,10.5,35,10.5,30.33333333,8.256714439,Three,MUT,Female
113,2,55.4,14.9,74.8,18.2,86,20.4,72.06666667,15.4820326,Three,MUT,Female
113,3,70.7,17.1,68.1,17.1,64.5,16,67.76666667,3.113411848,Three,MUT,Female
974,1,41,11.6,77,18.2,91.6,21.5,69.86666667,26.04329728,Three,MUT,Female
974,2,116,25.9,107,23.7,121,27,114.6666667,7.094598885,Three,MUT,Female
974,3,131,28.1,159,33.6,159,33.6,149.6666667,16.16580754,Three,MUT,Female
973,1,24.3,9.4,57.9,14.9,78.3,19.3,53.5,27.26756315,Three,MUT,Female
973,2,108,24.8,103,23.7,90.3,21.5,100.4333333,9.124874428,Three,MUT,Female
973,3,110,24.8,77.6,18.2,80.2,19.3,89.26666667,18.00259241,Three,MUT,Female
902,1,29,9.4,46.7,12.7,20.6,8.3,32.1,13.32328788,Three,WT,Male
902,2,24.4,9.4,29.8,9.4,48.7,13.8,34.3,12.75970219,Three,WT,Male
902,3,53.6,13.8,44.7,12.7,81.7,19.3,60,19.31243123,Three,WT,Male
901,1,22.9,8.3,72.2,18.2,82.7,19.3,59.26666667,31.9290359,Three,MUT,Male
901,2,69.6,17.1,75.9,18.2,57.9,14.9,67.8,9.134002409,Three,MUT,Male
901,3,130,28.1,99.1,22.6,79.6,19.3,102.9,25.41397253,Three,MUT,Male
954,1,25.9,9.4,70.2,17.1,75,18.2,57.03333333,27.0688628,Three,HET,Female
954,2,60.8,16,84.2,20.4,42,12.7,62.33333333,21.14174386,Three,HET,Female
954,3,79.2,19.3,87.8,20.4,95.5,21.5,87.5,8.154140053,Three,HET,Female
