MouseID,Weight (g),Sex ,Slc4939,Genotype
809,27.8,Male,-- ,WT
756,32.1,Male,-- ,WT
777,29.7,Male,-- ,WT
808,22.6,Female,-- ,WT
754,31.7,Male,-- ,WT
907,31.7,Male,-- ,WT
904,30.2,Female,-- ,WT
972,22.5,Female,-- ,WT
951,30.9,Male,-- ,WT
902,39.7,Male,-- ,WT
877,26.9,Female,-- ,WT
803,30.8,Male,-- ,WT
795,22.8,Female,-- ,WT
812,24.5,Female,-- ,WT
880,30.5,Male,-- ,WT
879,28.9,Male,-- ,WT
810,28.6,Male,+- ,HET
778,29.1,Male,+- ,HET
779,26.7,Male,+- ,HET
780,31.3,Male,+- ,HET
755,31,Male,+- ,HET
903,26.2,Male,+- ,HET
954,28.8,Female,+- ,HET
908,32.2,Male,+- ,HET
909,27.4,Male,+- ,HET
975,24,Female,+- ,HET
903,32.3,Male,+- ,HET
797,21.9,Female,+- ,HET
798,24.2,Female,+- ,HET
799,23.7,Female,+- ,HET
869,29.5,Female,+- ,HET
851,29.2,Male,+- ,HET
827,23.7,Female,+- ,HET
805,22.9,Female,++ ,MUT
901,31.2,Male,++ ,MUT
905,24.2,Female,++ ,MUT
906,24.7,Female,++ ,MUT
974,24.5,Female,++ ,MUT
973,24.2,Female,++ ,MUT
885,31.7,Female,++ ,MUT
969,22.3,Male,++ ,MUT
952,32.6,Male,++ ,MUT
878,20,Female,++ ,MUT
