	PFF_Colon_11	PFF_Colon_12	PFF_Colon_13	PFF_Colon_14	PFF_Colon_15	PFF_Colon_16	PFF_Colon_17	PFF_Colon_18	PFF_Colon_19	PFF_Colon_1904	PFF_Colon_1906	PFF_Colon_1907	PFF_Colon_1908	PFF_Colon_1910	PFF_Colon_1913	PFF_Colon_1914	PFF_Colon_1917	PFF_Colon_1920	PFF_Colon_1921	PFF_Colon_1937	PFF_Colon_1938	PFF_Colon_1941	PFF_Colon_1942	PFF_Colon_1943	PFF_Colon_1944	PFF_Colon_1945	PFF_Colon_1946	PFF_Colon_21	PFF_Colon_25	PFF_Colon_27	PFF_Colon_28	PFF_Colon_30	PFF_Colon_32	PFF_Colon_35	PFF_Colon_36	PFF_Colon_37
PFF_Colon_11	0.0	3.096660888484985	0.8849957145194551	0.4342153539915978	2.5339636255696707	0.4580956937278645	2.2299669604158394	2.1149576233935883	1.2111521972915282	2.0149986051653728	1.0804585537999147	1.3031762888663023	1.6876798694864255	2.3558387973004575	0.702570043009464	0.1197670558824834	2.0867477013305327	2.6770131401737	2.209882442200217	0.6435534112614018	0.9407684606348179	2.4508669051586076	0.45755870526152814	1.0153546443591392	1.701294706176793	0.5645802746564205	1.5596434353036976	1.6167953720381818	0.5484686339985235	2.849362705394931	1.6560025837081693	1.0615107238411765	0.9535504465056119	0.1548512949362501	2.5625772893137007	1.83684819866136
PFF_Colon_12	3.096660888484985	0.0	3.901050004719381	3.2222618013075928	1.0821283930233858	3.089979648356396	2.9818847218279867	1.3527565169804516	1.9986677498232577	2.1565777825054817	2.053744990128937	4.0285081561003295	2.9871439981944286	3.223672450338045	2.5013903997677667	3.13604634146636	3.206760766810576	4.3162765299031545	1.7398921330583637	2.5425318550618674	4.027889761111618	2.7295609178370444	3.0037492918841933	2.2671296765722784	1.9840547093120902	3.60921570100343	2.6972813450971773	2.66800217681118	3.2996530497789087	0.2884388470772459	2.1748580928930616	2.0578240940932173	3.521607353700511	2.9536523747732075	1.3653785440486665	1.3252273539680253
PFF_Colon_13	0.8849957145194551	3.901050004719381	0.0	0.6999756610014207	3.2157437949726777	0.8349359554368965	2.9416050994662277	2.978024606240721	1.9392647708489963	2.865936780412194	1.8502294968542499	1.4116253018606366	2.3854735218022016	3.0361856151906537	1.5590674895956056	0.8145895941317832	2.747969251394176	3.0654201087026927	3.082147093472646	1.4455610840367306	0.39519579617381556	3.225525473034472	0.9227485733260783	1.8958822692253423	2.269248697436306	0.6356626199827187	1.8326975644874752	2.3791377192113834	0.6364728649604643	3.6701511571282066	2.1376628920524667	1.8737625599341152	1.371628651717315	0.9923685572831739	3.438372583237685	2.6891608538014666
PFF_Colon_14	0.4342153539915978	3.2222618013075928	0.6999756610014207	0.0	2.526642237534873	0.14319303940352754	2.6527739577694085	2.381134046441121	1.243355137363543	2.390291949350148	1.1696190979321468	1.61130751836317	2.1171665962127384	2.7872986020958015	1.02669712212332	0.377511086027861	2.518498288966916	3.085035472322247	2.5413673649760598	0.8933861373800622	0.9348430544461809	2.862979327756477	0.2242539609727678	1.3464038245994787	1.591699979575108	0.7498184137009563	1.2733422748522996	2.028839351356569	0.14408624749868712	2.997173634976967	1.493615243853428	1.2387050312268222	1.340525976822954	0.44561341348061684	2.8546544814305173	2.045250137182864
PFF_Colon_15	2.5339636255696707	1.0821283930233858	3.2157437949726777	2.526642237534873	0.0	2.385758182773615	3.217808514701987	1.6329320040744135	1.326727086061807	2.408249175174358	1.4673555122087916	3.6934851600323384	3.028376780665681	3.459629837559883	2.1138693002741578	2.5550049396823993	3.3532124806885597	4.406647538953045	2.106240385164136	2.075687864463897	3.4272353615867157	3.087861971252747	2.3034187028778543	2.0051091704981387	1.0363511221468993	3.079199225754822	1.7185704747956354	2.717732121206391	2.5811425258021585	1.0635961987839417	1.2117582409971663	1.6100344966915965	3.2080544805053237	2.3834441764987186	1.9389880557411938	1.2815438380825892
PFF_Colon_16	0.4580956937278645	3.089979648356396	0.8349359554368965	0.14319303940352754	2.385758182773615	0.0	2.6316329049588356	2.277523793576064	1.1090814947963823	2.3294288086970165	1.0402681426175575	1.7032657362649744	2.108001519668329	2.7783686506453877	0.9584948674621606	0.40828067981863936	2.514822582551602	3.127331819237488	2.4593449950174775	0.8112807148981352	1.070164090782789	2.825607943009281	0.09274194674656273	1.2740654395999778	1.45518727693194	0.8534530618019304	1.1582035324320474	1.9975018638492976	0.2225006671802563	2.8683318827098203	1.3557739444992878	1.123051032064679	1.3995903452306437	0.419359078554044	2.757702830409312	1.929873804289184
PFF_Colon_17	2.2299669604158394	2.9818847218279867	2.9416050994662277	2.6527739577694085	3.217808514701987	2.6316329049588356	0.0	1.6616087169797709	2.4499781963765264	0.8959248347207672	2.2639447380119573	1.9863748094401534	0.5692415573106852	0.3225127209134009	1.743770688854362	2.2898480495640605	0.3490075321711963	1.3699442137995426	1.2687194038851846	1.938155324266126	2.7464747411829364	0.4379673127848206	2.5937506535345123	1.5532429001824057	3.062155011295918	2.3164720244437116	3.383777662172277	0.6513672153148249	2.753303150627763	2.706601320618765	3.1450995055714643	1.9989308388884333	1.6672155755570828	2.2164932943220794	1.6833413103894632	1.9396723646141163
PFF_Colon_18	2.1149576233935883	1.3527565169804516	2.978024606240721	2.381134046441121	1.6329320040744135	2.277523793576064	1.6616087169797709	0.0	1.4329490375400764	0.869435819396357	1.344009260941698	2.788263590916328	1.6403240175216551	1.9166252074911911	1.4265793144598415	2.1664495713197742	1.8686508718411554	2.9703434674515723	0.5224986336612325	1.5445827881028322	3.0006039043479604	1.4812604143354386	2.1999903829754697	1.1355273250653186	1.8495466966343257	2.539804286397738	2.4240046893515874	1.3182224508730065	2.477562896083323	1.0718594990401609	1.9960399090992103	1.1739080420107197	2.2894624391152005	1.9980680324667237	0.5288027554990682	0.4817350248038683
PFF_Colon_19	1.2111521972915282	1.9986677498232577	1.9392647708489963	1.243355137363543	1.326727086061807	1.1090814947963823	2.4499781963765264	1.4329490375400764	0.0	1.8167519174647975	0.2170663863424056	2.411642621058052	2.0745997359212294	2.6548497273599017	0.9053750794772448	1.2403296976723381	2.4665194955000365	3.3884266468078232	1.7574770225510992	0.8476407703176891	2.117990849720359	2.476031557718963	1.02047477743483	0.9288752651454539	0.6342394094139432	1.7653944101614882	1.0416144348282264	1.8285606201853073	1.3226377761979013	1.7897715915679469	0.740505513053419	0.5103966923729301	1.9503314427628191	1.0635834044118226	1.9105943482140875	0.9819083750590758
PFF_Colon_1904	2.0149986051653728	2.1565777825054817	2.865936780412194	2.390291949350148	2.408249175174358	2.3294288086970165	0.8959248347207672	0.869435819396357	1.8167519174647975	0.0	1.6734679199408524	2.2875451976659664	0.9344601942197261	1.0916392690166115	1.3938151300777697	2.0894835216616294	1.0765361637532247	2.193958470108216	0.4380606114291479	1.600190655728057	2.7777039153297327	0.7106922955968629	2.2652564736742504	1.0631918243416567	2.3721354828401298	2.3132840309983784	2.8384584183032566	0.7130261980881373	2.505657047082989	1.8744642434783139	2.5178693887153303	1.4534614513659239	1.8347332858046654	1.9514113153898485	0.9016403267106654	1.1385104623467128
