SampleID,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Selenium,Batch,MouseID,SampleType,Genotype,Sex
Y12_FP-SI,421.830,0.957,30.611,228.879,0.192,105.697,1.990,One,Y12,FP-SI,MUT,Male
Y12_MUC-COL,NA,0.000,15.505,143.565,n/a,3.592,0.000,One,Y12,MUC-COL,MUT,Male
Y12_MUC-SI,53.722,n/a,9.229,63.081,n/a,2.360,1.704,One,Y12,MUC-SI,MUT,Male
Y13_FP-COL,650.053,2.047,42.279,299.370,0.200,116.760,1.630,One,Y13,FP-COL,MUT,Male
Y13_FP-SI,329.836,0.522,24.592,187.300,0.168,93.841,2.066,One,Y13,FP-SI,MUT,Male
Y13_MUC-COL,326.472,1.615,26.702,120.817,n/a,19.505,n/a,One,Y13,MUC-COL,MUT,Male
Y13_MUC-SI,133.878,n/a,5.411,48.081,n/a,6.145,0.000,One,Y13,MUC-SI,MUT,Male
Y14_FP-COL,531.313,1.676,29.981,240.533,0.176,134.950,1.410,One,Y14,FP-COL,MUT,Male
Y14_FP-SI,183.774,0.586,10.705,98.610,0.129,67.208,1.565,One,Y14,FP-SI,MUT,Male
Y14_MUC-COL,54.396,0.131,8.203,63.053,n/a,2.354,0.000,One,Y14,MUC-COL,MUT,Male
Y14_MUC-SI,115.417,n/a,7.498,43.181,n/a,1.972,1.671,One,Y14,MUC-SI,MUT,Male
Y5_FP-COL,539.601,2.051,24.620,241.041,0.234,92.701,1.411,One,Y5,FP-COL,MUT,Male
Y5_FP-SI,278.428,0.448,15.885,143.660,0.200,63.525,1.772,One,Y5,FP-SI,MUT,Male
Y5_MUC-COL,0.000,n/a,59.625,293.147,n/a,1.280,n/a,One,Y5,MUC-COL,MUT,Male
Y5_MUC-SI,136.040,0.212,135.697,813.754,0.123,4.455,n/a,One,Y5,MUC-SI,MUT,Male
Y6_FP-COL,503.535,1.844,26.940,225.154,0.173,108.119,1.366,One,Y6,FP-COL,MUT,Male
Y6_FP-SI,117.681,0.223,7.672,61.216,0.058,19.757,0.864,One,Y6,FP-SI,MUT,Male
Y6_MUC-COL,115.084,0.585,65.872,159.544,n/a,10.078,n/a,One,Y6,MUC-COL,MUT,Male
Y6_MUC-SI,73.539,n/a,32.483,91.155,n/a,2.609,n/a,One,Y6,MUC-SI,MUT,Male
Y7_FP-COL,527.889,1.365,25.531,239.736,0.190,87.784,1.273,One,Y7,FP-COL,MUT,Male
Y7_FP-SI,199.604,0.260,10.648,123.739,0.140,47.669,1.987,One,Y7,FP-SI,MUT,Male
Y7_MUC-SI,146.010,n/a,111.459,229.334,n/a,6.612,3.061,One,Y7,MUC-SI,MUT,Male
Y8_FP-COL,578.060,1.760,30.223,250.711,0.211,102.332,1.454,One,Y8,FP-COL,MUT,Male
Y8_FP-SI,250.814,0.425,15.401,154.728,0.152,58.577,1.964,One,Y8,FP-SI,MUT,Male
Y8_MUC-COL,36.150,n/a,102.041,235.986,n/a,2.854,0.000,One,Y8,MUC-COL,MUT,Male
Y8_MUC-SI,87.649,n/a,121.921,212.987,n/a,2.431,n/a,One,Y8,MUC-SI,MUT,Male
Y9_FP-COL,546.230,1.646,22.159,254.930,0.193,71.952,1.182,One,Y9,FP-COL,MUT,Male
Y9_FP-SI,197.020,0.233,10.474,128.754,0.224,33.975,2.654,One,Y9,FP-SI,MUT,Male
Y9_MUC-SI,106.643,n/a,67.019,132.512,n/a,3.514,n/a,One,Y9,MUC-SI,MUT,Male
G14 MUC-COL,94.098,0.161,13.665,50.695,0.000,4.951,n/a,Three,G14,MUC-COL,WT,Male
G14 MUC-SI,121.551,0.020,15.401,72.583,0.063,4.318,1.125,Three,G14,MUC-SI,WT,Male
G9 MUC-COL,225.964,0.000,80.402,161.210,0.000,2.937,0.000,Three,G9,MUC-COL,WT,Male
G9 MUC-SI,117.581,0.037,39.036,111.292,0.035,4.767,1.133,Three,G9,MUC-SI,WT,Male
J1 MUC-COL,51.708,0.016,7.538,53.576,n/a,2.061,0.000,Three,J1,MUC-COL,WT,Female
J1 MUC-SI,179.392,0.065,22.259,104.269,0.028,8.591,1.524,Three,J1,MUC-SI,WT,Female
J1 TS-COL,135.359,0.107,11.717,143.874,0.007,12.632,2.683,Three,J1,TS-COL,WT,Female
J1 TS-SI,76.900,0.058,4.322,73.064,0.019,4.978,2.393,Three,J1,TS-SI,WT,Female
J1 FP-COL,948.892,2.320,41.735,393.331,0.322,186.234,1.994,Three,J1,FP-COL,WT,Female
J1 FP-SI,614.447,1.301,28.137,335.137,0.311,235.451,2.942,Three,J1,FP-SI,WT,Female
J10 MUC-COL,1063.058,0.000,54.049,541.877,n/a,12.506,0.000,Three,J10,MUC-COL,WT,Female
J10 MUC-SI,186.264,0.046,27.084,141.350,0.098,10.237,4.260,Three,J10,MUC-SI,WT,Female
J10 TS-COL,109.941,0.072,13.242,152.317,0.008,9.810,3.000,Three,J10,TS-COL,WT,Female
