SampleID,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Selenium,Batch,MouseID,SampleType,Genotype,Sex
G16_TS-COL,131.629,0.104,12.487,128.249,n/a,12.158,2.624,One,G16,TS-COL,WT,Male
G17_TS-COL,81.424,0.104,11.916,104.120,0.009,10.145,2.626,One,G17,TS-COL,WT,Male
G6_TS-COL,102.290,0.108,14.964,130.552,0.008,9.494,2.480,One,G6,TS-COL,WT,Male
G7_TS-COL,104.731,0.145,16.395,169.767,n/a,10.260,2.655,One,G7,TS-COL,WT,Male
G8_TS-COL,95.280,0.112,14.911,138.632,n/a,9.133,2.653,One,G8,TS-COL,WT,Male
G10_TS-SI,103.567,0.104,9.626,111.121,0.039,5.945,3.586,One,G10,TS-SI,WT,Male
G11_TS-SI,120.507,0.077,10.585,124.892,0.058,5.682,3.844,One,G11,TS-SI,WT,Male
G12_TS-SI,105.387,0.110,9.350,123.637,0.031,6.017,3.607,One,G12,TS-SI,WT,Male
G13_TS-SI,73.682,0.092,7.405,85.853,0.044,5.502,2.949,One,G13,TS-SI,WT,Male
G15_TS-SI,88.286,0.070,8.016,96.957,0.035,5.498,3.175,One,G15,TS-SI,WT,Male
G16_TS-SI,70.273,0.067,6.062,80.524,0.024,4.545,2.639,One,G16,TS-SI,WT,Male
G17_TS-SI,72.848,0.066,8.468,100.425,0.033,6.526,3.382,One,G17,TS-SI,WT,Male
G6_TS-SI,48.771,0.043,5.385,64.329,0.019,4.524,2.228,One,G6,TS-SI,WT,Male
G7_TS-SI,75.135,0.076,8.241,98.423,0.033,4.798,2.726,One,G7,TS-SI,WT,Male
G8_TS-SI,78.061,0.069,8.951,96.441,0.034,4.719,2.684,One,G8,TS-SI,WT,Male
