	observed_features
PFF_Cecum_16	216
PFF_Cecum_1943	210
PFF_Cecum_12	177
PFF_Cecum_1921	211
PFF_Cecum_1945	187
PFF_Cecum_35	218
PFF_Cecum_30	206
PFF_Cecum_11	232
PFF_Cecum_21	167
PFF_Cecum_37	166
PFF_Cecum_1914	211
PFF_Cecum_28	264
PFF_Cecum_1920	284
PFF_Cecum_13	215
PFF_Cecum_17	240
PFF_Cecum_1904	222
PFF_Cecum_1938	178
PFF_Cecum_1910	198
PFF_Cecum_1913	221
PFF_Cecum_1942	208
PFF_Cecum_19	141
PFF_Cecum_1907	206
PFF_Cecum_25	164
PFF_Cecum_1906	230
PFF_Cecum_36	194
PFF_Cecum_27	224
PFF_Cecum_1944	224
PFF_Cecum_1908	190
PFF_Cecum_15	193
PFF_Cecum_1917	224
PFF_Cecum_1941	252
PFF_Cecum_32	237
PFF_Cecum_1937	226
PFF_Cecum_14	205
PFF_Cecum_18	244
