	observed_features
PFF_Jejunum_32	83
PFF_Jejunum_37	49
PFF_Jejunum_16	74
PFF_Jejunum_19	108
PFF_Jejunum_21	64
PFF_Jejunum_1910	64
PFF_Jejunum_1946	142
PFF_Jejunum_1938	58
PFF_Jejunum_1945	75
PFF_Jejunum_17	93
PFF_Jejunum_14	73
PFF_Jejunum_18	21
PFF_Jejunum_1942	57
PFF_Jejunum_28	116
PFF_Jejunum_1943	70
PFF_Jejunum_1906	32
PFF_Jejunum_1917	85
PFF_Jejunum_35	61
PFF_Jejunum_1921	37
PFF_Jejunum_30	65
PFF_Jejunum_1908	69
PFF_Jejunum_1937	54
PFF_Jejunum_1920	50
PFF_Jejunum_27	56
PFF_Jejunum_1944	49
PFF_Jejunum_1913	68
PFF_Jejunum_12	46
PFF_Jejunum_25	61
PFF_Jejunum_13	65
PFF_Jejunum_1904	62
PFF_Jejunum_36	121
PFF_Jejunum_15	39
PFF_Jejunum_1914	57
PFF_Jejunum_11	80
