	observed_features
PFF_Baseline_19	147
PFF_Baseline_1944	176
PFF_Baseline_26	173
PFF_Baseline_37	149
PFF_Baseline_12	167
PFF_Baseline_15	188
PFF_Baseline_1946	165
PFF_Baseline_25	153
PFF_Baseline_1942	158
PFF_Baseline_17	113
PFF_Baseline_28	139
PFF_Baseline_11	239
PFF_Baseline_30	169
PFF_Baseline_18	171
PFF_Baseline_35	202
PFF_Baseline_16	174
PFF_Baseline_36	183
PFF_Baseline_32	197
PFF_Baseline_1937	184
PFF_Baseline_1943	161
PFF_Baseline_27	181
PFF_Baseline_13	172
PFF_Baseline_14	156
PFF_Baseline_1921	156
