MouseID,Litter ,Distance,Center_Time,Q22,SLC_Genotype,Sex
814,16,12.166,107.7,KO,WT,Male
816,16,16.101,220.4,WT,WT,Male
812,16,14.268,315.1,WT,WT,Female
570,5/6,18.27,183.4,WT,WT,Male
569,5/6,25.945,229.4,WT,WT,Female
561,5/6,12.799,216.2,KO,WT,Male
708,10/11,25.056,161,WT,WT,Male
704,10/11,27.707,203.5,WT,WT,Female
850,15,20.834,199,KO,WT,Male
803,15,18.985,216.8,WT,WT,Male
795,15,18.593,156.7,WT,WT,Female
828,15,15.025,259.2,KO,WT,Female
825,15,13.795,29.3,KO,WT,Female
621,8,26.262,213.1,WT,WT,Female
747,13,26.182,142.3,KO,WT,Male
750,13,19.098,97.4,WT,WT,Male
749,13,18.193,190.1,KO,WT,Female
109,1,12.084,271.4,WT,WT,Female
411,,11.989,162.9,WT,WT,Male
408,,11.521,154.9,WT,WT,Female
783,13,22.141,198.6,WT,HET,Female
815,16,21.738,151.4,KO,HET,Male
818,16,15.785,205.2,KO,HET,Male
813,16,22.122,221.2,WT,HET,Female
811,16,22.266,95.5,KO,HET,Female
817,16,21.716,223.8,KO,HET,Male
573,5/6,12.912,448.6,WT,HET,Male
571,5/6,14.446,265.4,WT,HET,Male
563,5/6,7.597,271.9,KO,HET,Male
565,5/6,20.09,178.1,KO,HET,Male
567,5/6,16.372,161.6,WT,HET,Female
560,5/6,29.796,242.7,KO,HET,Male
689,10/11,21.306,317.1,WT,HET,Female
707,10/11,11.941,191.9,KO,HET,Female
706,10/11,20.222,75.2,WT,HET,Female
829,15,18.86,172,KO,HET,Female
827,15,15.091,271.5,WT,HET,Female
849,15,19.171,224.9,KO,HET,Male
851,15,21.316,106.9,WT,HET,Male
804,15,24.563,207.5,WT,HET,Female
852,15,20.77,70.8,KO,HET,Male
797,15,18.684,181.6,WT,HET,Female
799,15,20.863,110.6,WT,HET,Female
798,15,19.456,136.1,WT,HET,Female
802,15,15.52,59.3,KO,HET,Male
620,8,19.221,247.1,WT,HET,Female
736,13,20.482,227.7,WT,HET,Female
748,13,20.061,38.4,KO,HET,Female
737,13,18.923,256,WT,HET,Male
745,13,17.073,144.8,KO,HET,Male
753,13,10.915,164.3,KO,HET,Female
751,13,26.012,174,WT,HET,Female
108,1,8.159,293,WT,HET,Male
106,1,11.26,146.3,WT,HET,Male
403,,14.892,179.7,WT,HET,Female
404,,13.155,201.4,WT,HET,Female
409,,9.701,109.7,KO,HET,Female
412,,11.323,257.6,WT,HET,Female
535,5/6,16.314,190.8,WT,MUT,Female
534,5/6,18.628,244.6,KO,MUT,Female
619,8,23.323,197.6,WT,MUT,Female
564,5/6,16.702,194.1,WT,MUT,Male
562,5/6,16.718,236.5,WT,MUT,Male
688,10/11,20.128,223.5,WT,MUT,Female
685,10/11,17.945,153.3,WT,MUT,Male
678,10/11,21.693,221,WT,MUT,Male
686,10/11,13.528,217.3,WT,MUT,Male
705,10/11,21.119,147.8,KO,MUT,Female
801,15,26.145,228.5,KO,MUT,Female
517,4,14.36,211.8,WT,MUT,Female
518,4,15.869,335.4,WT,MUT,Female
752,13,17.53,289.6,WT,MUT,Female
744,13,18.222,284.7,WT,MUT,Female
738,13,11.579,328.7,KO,MUT,Male
107,1,4.479,253.3,WT,MUT,Female
407,,9.87,88.2,KO,MUT,Female
405,,25.853,42.6,WT,MUT,Male
406,,13.101,224.4,KO,MUT,Male
