Animal,Day,Litter,Stage,Trial,NoMove Big : number investigations,NoMove Big : time investigating,NoMove Big : time oriented towards,NoMove Small : number investigations,NoMove Small : time investigating,NoMove Small : time oriented towards,Move Big : number investigations,Move Big : time investigating,Move Big : time oriented towards,Move Small : number investigations,Move Small : time investigating,Move Small : time oriented towards,Total_time_Investigated,Time_Nomove,Time_Move,Discrimination_Ratio,Animal,Q22,SLC,Sex
109,Testing,One,Testing,1,6,6.7,30.5,5,1.9,26,17,20.4,32.2,26,18.6,51.8,47.6,8.6,39,0.6386554622,109,WT,WT,Female
106,Testing,One,Testing,1,0,0,7.9,12,9.1,22.6,15,10.2,30.1,16,19.2,41.2,38.5,9.1,29.4,0.5272727273,106,WT,HET,Male
108,Testing,One,Testing,1,9,6.9,38.9,5,2.9,32.4,7,1.7,14.8,8,6.3,45.5,17.8,9.8,8,-0.1011235955,108,WT,HET,Male
107,Testing,One,Testing,1,5,2.4,20.9,16,14.4,28.2,7,4.6,23.3,19,16.1,43.5,37.5,16.8,20.7,0.104,107,WT,MUT,Female
407,Testing,Two,Testing,1,3,3,32.3,8,6.7,12.9,5,4.6,67.5,20,16.3,38.5,30.6,9.7,20.9,0.3660130719,407,KO,MUT,Female
405,Testing,Two,Testing,1,20,9,27,10,2.9,28.2,12,7.9,32.3,15,11.5,21.2,31.3,11.9,19.4,0.2396166134,405,WT,MUT,Male
406,Testing,Two,Testing,1,30,17.4,39.3,13,10.1,38.9,16,15.3,51.1,9,7.1,31.7,49.9,27.5,22.4,-0.1022044088,406,KO,MUT,Male
409,Testing,Two,Testing,1,7,7.6,29.7,10,9.4,28.4,10,11.9,39.7,12,7.6,32.1,36.5,17,19.5,0.06849315068,409,KO,HET,Female
412,Testing,Three,Testing,1,16,9.9,61.6,48,20.2,32.7,12,7.7,50,14,15.8,35.3,53.6,30.1,23.5,-0.1231343284,412,WT,HET,Female
403,Testing,Three,Testing,1,14,8,20.8,15,5.3,18.7,23,12.9,31,22,12,35.9,38.2,13.3,24.9,0.3036649215,403,WT,HET,Female
411,Testing,Three,Testing,1,11,12.8,37.2,5,4.5,38.1,13,13.1,26.9,30,30,37,60.4,17.3,43.1,0.4271523179,411,WT,WT,Male
408,Testing,Three,Testing,1,9,10.1,38.7,73,31.7,52.5,3,4.2,67.5,15,10.2,70.8,56.2,41.8,14.4,-0.487544484,408,WT,WT,Female
404,Testing,Three,Testing,1,11,5.6,27.4,26,9.3,30.8,19,9.1,47.1,19,11.2,40.3,35.2,14.9,20.3,0.1534090909,404,WT,HET,Female
518,Testing,Four,Testing,1,15,6.8,18.8,14,8.9,37.1,12,10.6,27.6,8,4.9,23.4,31.2,15.7,15.5,-0.00641025641,518,WT,MUT,Female
517,Testing,Four,Testing,1,13,10.5,48.2,17,12.6,33.5,21,11.3,32.3,7,7.1,32.4,41.5,23.1,18.4,-0.113253012,517,WT,MUT,Female
562,Testing,Five,Testing,1,11,20.4,21.9,1,0,17.4,7,3.2,33,6,2.6,43.4,26.2,20.4,5.8,-0.5572519084,562,WT,MUT,Male
564,Testing,Five,Testing,1,3,1.9,28,16,12.8,32.6,12,10.2,45.3,15,11.7,34.7,36.6,14.7,21.9,0.1967213115,564,WT,MUT,Male
567,Testing,Five,Testing,1,14,5.1,12.8,10,5.6,14.9,10,5,22.8,24,21.8,50.8,37.5,10.7,26.8,0.4293333333,567,WT,HET,Female
569,Testing,Five,Testing,1,6,5.1,18.9,32,17.3,46.5,12,8.4,50.4,13,10.6,77.9,41.4,22.4,19,-0.08212560386,569,WT,WT,Female
571,Testing,Five,Testing,1,14,12.9,43.4,19,18.8,24.8,10,12.9,36.6,13,6.5,31.8,51.1,31.7,19.4,-0.240704501,571,WT,HET,Male
573,Testing,Five,Testing,1,17,17.3,29.1,7,6.7,33.7,17,14.4,36.5,9,7.1,39.8,45.5,24,21.5,-0.05494505495,573,WT,HET,Male
563,Testing,Five,Testing,1,23,13.3,33.8,24,17.4,39.8,20,19.5,46.2,14,11.4,49.4,61.6,30.7,30.9,0.003246753247,563,KO,HET,Male
570,Testing,Five,Testing,1,13,9.8,24.1,12,7.9,22.8,11,7.9,23.5,15,7.9,24.3,33.5,17.7,15.8,-0.05671641791,570,WT,WT,Male
565,Testing,Five,Testing,1,9,10.1,40.4,14,10.7,38.9,27,27,42.1,18,14.9,49.1,62.7,20.8,41.9,0.336523126,565,KO,HET,Male
