	chao1
PFF_Cecum_16	223.02777777777777
PFF_Cecum_1943	216.48717948717947
PFF_Cecum_12	198.3684210526316
PFF_Cecum_1921	226.0
PFF_Cecum_1945	193.48717948717947
PFF_Cecum_35	251.3
PFF_Cecum_30	222.25
PFF_Cecum_11	258.03703703703707
PFF_Cecum_21	180.54166666666666
PFF_Cecum_37	178.65
PFF_Cecum_1914	217.55172413793105
PFF_Cecum_28	276.4
PFF_Cecum_1920	305.02222222222224
PFF_Cecum_13	223.16129032258064
PFF_Cecum_17	264.89473684210526
PFF_Cecum_1904	228.1764705882353
PFF_Cecum_1938	179.5
PFF_Cecum_1910	212.1304347826087
PFF_Cecum_1913	230.94736842105263
PFF_Cecum_1942	225.575
PFF_Cecum_19	168.1875
PFF_Cecum_1907	215.84848484848484
PFF_Cecum_25	190.4
PFF_Cecum_1906	249.0909090909091
PFF_Cecum_36	203.2
PFF_Cecum_27	242.59375
PFF_Cecum_1944	233.02777777777777
PFF_Cecum_1908	199.51724137931035
PFF_Cecum_15	199.57692307692307
PFF_Cecum_1917	239.03703703703704
PFF_Cecum_1941	266.27027027027026
PFF_Cecum_32	237.94736842105263
PFF_Cecum_1937	240.03225806451613
PFF_Cecum_14	229.79166666666666
PFF_Cecum_18	317.9655172413793
