MouseID,Mouse,Video,Value ,Video_Start,Video_End,Rears,Grooms,Scorer,SLC_Genotype,Sex
15,1,1,rrrgrrgrrrrrrrrrrrrrgrrrgrrrgrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrrrr,0:09,10:09,56,6,Maggie,MUT,Male
16,2,1,rrrrrrrrgrrgrrrrrrrrrrrgrgrrgrgrrrrrrrrrrrrrrrgrrrgrrrrrrrgrrrrrrrrrrrrrrrrrrrrrrrrrrrrgrrrrggrrgrrrrr,0:12,10:12,89,13,Maggie,MUT,Male
18,3,1,rrrgrrgggrrrgrrrrrggrrrrrrrgrrrrrrrrrrrgrrrr,0:17,10:17,35,9,Maggie,MUT,Male
75,4,1,rrgrrgrgrrgrrrrgrggrrgrrrrrrrrrrrgrgrrrrrrrrrrrrrrrrgrrrr,0:20,10:20,46,11,Maggie,MUT,Male
192,1,2,gggrrggggrrrgrrgrrrgrrrrrrrrggrrrrrrrgrggrrrrgrrrrggr,0:03,10:03,35,18,Maggie,MUT,Female
193,2,2,gggrrggggggggrggrrrgrrrrggrgrrrgrgrrgrrgrrrrggggrgggrggggrgrgrrrrg,0:08,10:08,31,35,Maggie,MUT,Female
109,3,2,rrrrggggrggrgrrgrrrrrrgrrgrrrrrgrgrrgrggggrrrrrgrgrrrrrgrgrrrrg,0:11,10:11,41,22,Maggie,MUT,Female
191,4,2,rrrgggrrrrgrrrrrrrrggrgrrrrrggrgrrrgrgrgrgrgrggrggrrrrrgrgrrrrrrrgrggrgggrrgrrggrrg,0:16,10:16,52,31,Maggie,MUT,Female
88,1,3,rrgrgggggrgrgrggrrrrgrggggggrgrrgrrgrggrrrggrgrrrgrggggrrgrrrgrrrrgrrrrrrrrrrgrrg,0:06,10:06,46,35,Maggie,WT,Male
17,2,3,rrrggrrgrgrrgrrrrrrrgrrrrrrgrgrrrrrrggrrrrrrrrgrrrrrgggrrgrrrrrrrrrg,0:10,10:10,52,16,Maggie,WT,Male
153,3,3,rrrrrgrrgggrrgrrrrrrgrrrgrrgrggrrggrrrrrgrggrrrggrrrrg,0:12,10:12,36,18,Maggie,WT,Male
155,4,3,rrrgggrrgggrgrgrgrgrgrrrgrgrrrrrgrgrrrrrgrrgrrrrrgrrrrrrrgrrrgrr,0:17,10:17,44,20,Maggie,WT,Male
89,1,4,rggrrrrrrrgggrgrrggrrrrggrgggrrrrrrrrrrrrrrgrrgrrrgrrrrrrrrrgrr,0:18,10:18,46,17,Maggie,WT,Female
91,2,4,rrrrrgrgggrrgrrrrrggrggggggrggrrrrrgrgrggrrrrrrrgrrrrrrggrrrrrggrrgrrgggrrrrrrgg,0:25,10:25,50,30,Maggie,WT,Female
90,3,4,rrrgrggggrgrrrrgrgrrrrgrggrrrrgggrrrrrrrrrrrrrrgggrrrrrgg,0:29,10:29,38,19,Maggie,WT,Female
144,4,4,rrrrrgggrrrrrggggrrrgrrrrrrgrrrrrgrgrggrrrrrrrgrrrrrrrgrrrrrrggrrrrrr,0:33,10:33,52,17,Maggie,WT,Female
156,1,5,grrrrrrrrrggrrgrrrrrrrggrrrrrrrrrrrrrrrrrrrrrrrrrr,0:16,10:16,44,6,Allyson,MUT,Male
158,2,5,gggrrrrrggrrrrrrrgrrgrrrrrrrrrrrrrrrggrrrrrrrrrrrg,0:17,10:17,40,10,Allyson,MUT,Male
137,3,5,rrrrgrrrggrrrrrrrrrgrrrrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrrr,0:20,10:20,50,5,Allyson,MUT,Male
159,4,5,rrgrrrrrrgrgrrgrrrrrgrrrrrrrrrrrrrrgrrrgrrrrrrrr,0:25,10:25,41,7,Allyson,MUT,Male
101,1,6,rrrrrgrrgrggrrrrrrrrrrggrrrrrrrr,0:08,10:08,26,6,Allyson,WT,Female
110,2,6,rrrrgrgrrrrgrrrggrrrrrrrgrrrrrrrrrrrrrrgrrr,0:13,10:13,36,7,Allyson,WT,Female
103,3,6,rrrrgrrrrrrrrrrrgrrrrrrrrrrrrrggrrrrr,0:17,10:17,33,4,Allyson,WT,Female
197,1,7,rrggrrrrgrrrrrrrrrrggrrrrrrrrrrrrrrrrrrrrrr,0:08,10:08,38,5,Allyson,WT,Male
152,2,7,rrrrrggrrrrrgrgrrrrrrrrrrggggrrrrrrrrrrrrrgrrggrgrrr,0:13,10:13,40,12,Allyson,WT,Male
160,3,7,rrggrrrrgrrrrrrrgrrrrrggrrrrrrrrgrrrr,0:19,10:19,30,7,Allyson,WT,Male
143,1,8,rrrrrrgrrrrrrrrrggrrrrrrrrrrrrgrrrr,0:04,10:04,31,4,Allyson,MUT,Female
141,2,8,rrrrrrrrrrrrrgrrggrrrrrrrrgggrrrrrrrrrrrrrrrrgrrgrrrrrrrrrr,0:06,10:06,51,8,Allyson,MUT,Female
142,3,8,rrrrrrrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrgrrrrrrrrrrrrrrrrrrrrrrrrrrr,0:10,10:10,62,2,Allyson,MUT,Female
