MouseID,Genotype,Sex,Mean,FITC
153,WT,Male,675.3925,150kDa
155,WT,Male,765.8725,150kDa
17,WT,Male,852.6425,150kDa
88,WT,Male,807.0175,150kDa
110,WT,Female,760.01,150kDa
103,WT,Female,951.7425,150kDa
101,WT,Female,1070.675,150kDa
18,MUT,Male,1326.7325,150kDa
15,MUT,Male,1323.77,150kDa
16,MUT,Male,889.45,150kDa
75,MUT,Male,1104.685,150kDa
141,MUT,Female,1116.21,150kDa
142,MUT,Female,1336.2275,150kDa
143,MUT,Female,1260.7145,150kDa
160,WT,Male,588.555,150kDa
89,WT,Female,846.925,150kDa
158,MUT,Male,673.9835,150kDa
137,MUT,Male,811.2195,150kDa
193,MUT,Female,813.0985,150kDa
91,WT,Female,847.05,4kDa
90,WT,Female,1055.235,4kDa
144,WT,Female,802.945,4kDa
191,MUT,Female,803.805,4kDa
109,MUT,Female,1122.695,4kDa
192,MUT,Female,1087.025,4kDa
159,MUT,Male,848.75,4kDa
156,MUT,Male,891.435,4kDa
197,WT,Male,1304.165,4kDa
152,WT,Male,648.055,4kDa
