Mouse,Video,Mouse_ID,Genotype,Sex,Instances,Behavior,Scorer
1,1,15,MUT,M,56,rear,Maggie
2,1,16,MUT,M,89,rear,Maggie
3,1,18,MUT,M,35,rear,Maggie
4,1,75,MUT,M,46,rear,Maggie
1,2,192,MUT,F,35,rear,Maggie
2,2,193,MUT,F,31,rear,Maggie
3,2,109,MUT,F,41,rear,Maggie
4,2,191,MUT,F,52,rear,Maggie
1,3,88,WT,M,46,rear,Maggie
2,3,17,WT,M,52,rear,Maggie
3,3,153,WT,M,36,rear,Maggie
4,3,155,WT,M,44,rear,Maggie
1,4,89,WT,F,46,rear,Maggie
2,4,91,WT,F,50,rear,Maggie
3,4,90,WT,F,38,rear,Maggie
4,4,144,WT,F,52,rear,Maggie
1,5,156,MUT,M,40,rear,Maggie
2,5,158,MUT,M,44,rear,Maggie
3,5,137,MUT,M,51,rear,Maggie
4,5,159,MUT,M,38,rear,Maggie
1,6,101,WT,F,13,rear,Maggie
2,6,110,WT,F,26,rear,Maggie
3,6,103,WT,F,45,rear,Maggie
1,7,197,WT,M,41,rear,Maggie
2,7,152,WT,M,23,rear,Maggie
3,7,160,WT,M,20,rear,Maggie
1,8,143,MUT,F,32,rear,Maggie
2,8,141,MUT,F,55,rear,Maggie
3,8,142,MUT,F,66,rear,Maggie
1,1,15,MUT,M,6,groom,Maggie
2,1,16,MUT,M,13,groom,Maggie
3,1,18,MUT,M,9,groom,Maggie
4,1,75,MUT,M,11,groom,Maggie
1,2,192,MUT,F,18,groom,Maggie
2,2,193,MUT,F,35,groom,Maggie
3,2,109,MUT,F,22,groom,Maggie
4,2,191,MUT,F,31,groom,Maggie
1,3,88,WT,M,35,groom,Maggie
2,3,17,WT,M,16,groom,Maggie
3,3,153,WT,M,18,groom,Maggie
4,3,155,WT,M,20,groom,Maggie
1,4,89,WT,F,17,groom,Maggie
2,4,91,WT,F,30,groom,Maggie
3,4,90,WT,F,19,groom,Maggie
4,4,144,WT,F,17,groom,Maggie
1,5,156,MUT,M,14,groom,Maggie
2,5,158,MUT,M,14,groom,Maggie
3,5,137,MUT,M,14,groom,Maggie
4,5,159,MUT,M,11,groom,Maggie
1,6,101,WT,F,7,groom,Maggie
2,6,110,WT,F,8,groom,Maggie
3,6,103,WT,F,20,groom,Maggie
1,7,197,WT,M,14,groom,Maggie
2,7,152,WT,M,12,groom,Maggie
3,7,160,WT,M,13,groom,Maggie
1,8,143,MUT,F,5,groom,Maggie
2,8,141,MUT,F,10,groom,Maggie
3,8,142,MUT,F,5,groom,Maggie
1,1,15,MUT,M,54,rear,Allyson
2,1,16,MUT,M,76,rear,Allyson
3,1,18,MUT,M,48,rear,Allyson
4,1,75,MUT,M,66,rear,Allyson
1,2,192,MUT,F,39,rear,Allyson
2,2,193,MUT,F,44,rear,Allyson
3,2,109,MUT,F,62,rear,Allyson
4,2,191,MUT,F,75,rear,Allyson
1,3,88,WT,M,61,rear,Allyson
2,3,17,WT,M,57,rear,Allyson
3,3,153,WT,M,43,rear,Allyson
4,3,155,WT,M,51,rear,Allyson
1,4,89,WT,F,54,rear,Allyson
2,4,91,WT,F,55,rear,Allyson
3,4,90,WT,F,47,rear,Allyson
4,4,144,WT,F,63,rear,Allyson
1,5,156,MUT,M,44,rear,Allyson
2,5,158,MUT,M,40,rear,Allyson
3,5,137,MUT,M,50,rear,Allyson
4,5,159,MUT,M,41,rear,Allyson
1,6,101,WT,F,26,rear,Allyson
2,6,110,WT,F,36,rear,Allyson
3,6,103,WT,F,33,rear,Allyson
1,7,197,WT,M,38,rear,Allyson
2,7,152,WT,M,40,rear,Allyson
3,7,160,WT,M,30,rear,Allyson
1,8,143,MUT,F,31,rear,Allyson
2,8,141,MUT,F,51,rear,Allyson
3,8,142,MUT,F,62,rear,Allyson
1,1,15,MUT,M,9,groom,Allyson
2,1,16,MUT,M,9,groom,Allyson
3,1,18,MUT,M,7,groom,Allyson
4,1,75,MUT,M,12,groom,Allyson
1,2,192,MUT,F,3,groom,Allyson
2,2,193,MUT,F,15,groom,Allyson
3,2,109,MUT,F,8,groom,Allyson
4,2,191,MUT,F,11,groom,Allyson
1,3,88,WT,M,10,groom,Allyson
2,3,17,WT,M,9,groom,Allyson
3,3,153,WT,M,9,groom,Allyson
4,3,155,WT,M,21,groom,Allyson
1,4,89,WT,F,4,groom,Allyson
2,4,91,WT,F,11,groom,Allyson
3,4,90,WT,F,7,groom,Allyson
4,4,144,WT,F,11,groom,Allyson
1,5,156,MUT,M,6,groom,Allyson
2,5,158,MUT,M,10,groom,Allyson
3,5,137,MUT,M,5,groom,Allyson
4,5,159,MUT,M,7,groom,Allyson
1,6,101,WT,F,6,groom,Allyson
2,6,110,WT,F,7,groom,Allyson
3,6,103,WT,F,4,groom,Allyson
1,7,197,WT,M,5,groom,Allyson
2,7,152,WT,M,12,groom,Allyson
3,7,160,WT,M,7,groom,Allyson
1,8,143,MUT,F,4,groom,Allyson
2,8,141,MUT,F,8,groom,Allyson
3,8,142,MUT,F,2,groom,Allyson
