	shannon_entropy
SLCFP145	3.474344059985236
SLCFP146	3.966766214591613
SLCFP147	4.12176542157336
SLCFP151	3.2014342238825666
SLCFP152	3.601868986400319
SLCFP153	3.7672665406567907
SLCFP157	3.4300653742873197
SLCFP158	3.811864196559117
SLCFP159	4.0703269873295325
SLCFP163	3.644787892986529
SLCFP164	3.6487256786803575
SLCFP165	3.7853097927236363
SLCFP169	2.9894841784722783
SLCFP170	3.4204298040970906
SLCFP171	3.424679772741546
SLCFP175	2.8725616210776725
SLCFP176	3.306901011778074
SLCFP177	3.63386768103744
SLCFP001	3.8213494622110113
SLCFP002	3.9340324739683905
SLCFP003	3.995655913407803
SLCFP007	3.4136083426442436
SLCFP008	3.75727189754693
SLCFP009	3.729500157222438
SLCFP013	3.5729887793921233
SLCFP014	4.032245969094355
SLCFP015	4.00231408929777
SLCFP019a	3.3807555826771734
SLCFP020	3.4556572513626955
SLCFP021	3.4739904875195555
SLCFP025	3.4298850108715353
SLCFP026	3.7149264576080934
SLCFP027	3.9757814585028086
SLCFP031	3.040040092577211
SLCFP032	3.221558054629348
SLCFP033	3.7140581240508523
SLCFP037	3.7807730840208413
SLCFP038	3.755025729163552
SLCFP039	3.6375932919089706
SLCFP043	3.145890379387504
SLCFP044	3.7342124258229434
SLCFP045	3.4834537979546667
SLCFP049	3.0478352101521065
SLCFP050	3.409255631305978
SLCFP051	4.103918580783747
SLCFP055	3.4391421841617302
SLCFP056	3.5025637939798924
SLCFP057	3.732286959339634
SLCFP061	3.351034772327169
SLCFP062	3.360728829257488
SLCFP063	3.753450553874645
SLCFP067	3.3967194143396746
SLCFP068	3.4011386101815013
SLCFP069	3.71692025453553
SLCFP073	2.8371587987607305
SLCFP074	3.1807787994182033
SLCFP075	3.4882228115469815
SLCFP079	2.8164577554172165
SLCFP080	3.6459670317927273
SLCFP081	3.6784664592382934
SLCFP085	3.3946261308216195
SLCFP086	3.407059144392746
SLCFP087	3.8187117239819988
SLCFP091	3.490350683570899
SLCFP092	3.4696836281338683
SLCFP093	3.659912188811936
SLCFP097	3.139936176113031
SLCFP098	3.496497377426592
SLCFP099	3.0117659848203124
SLCFP103	3.355901736855444
SLCFP104	3.266199392135126
SLCFP105	3.1687663867895615
SLCFP109	3.6627233338918517
SLCFP110	3.9717723904892184
SLCFP111	4.058302169304618
SLCFP115	3.313392644007137
SLCFP116	3.7873773765845304
SLCFP117	3.9107088640263115
SLCFP121	3.625039575407332
SLCFP122	3.411558529581845
SLCFP123	3.6092143283780755
SLCFP127	2.9095896017550626
SLCFP128	3.334900606659743
SLCFP129	3.4943463758283246
SLCFP133	3.262177535778338
SLCFP134	3.6190754811281485
SLCFP135	3.918963017080584
SLCFP139	3.544297794113787
SLCFP140	3.8971939886968308
SLCFP141	3.8177018290866127
