	pielou_evenness
PFF_Cecum_16	0.6377015765241376
PFF_Cecum_1943	0.5909204598598656
PFF_Cecum_12	0.5998206184248245
PFF_Cecum_1921	0.7176628167799798
PFF_Cecum_1945	0.5603970680849657
PFF_Cecum_35	0.7294822125756782
PFF_Cecum_30	0.6944805323134403
PFF_Cecum_11	0.7033558508626795
PFF_Cecum_21	0.5510298681214466
PFF_Cecum_37	0.6366431580967513
PFF_Cecum_1914	0.7249615908762247
PFF_Cecum_28	0.7250992223059067
PFF_Cecum_1920	0.7352675743225543
PFF_Cecum_13	0.7462982014108271
PFF_Cecum_17	0.7027998349878807
PFF_Cecum_1904	0.6265114224489723
PFF_Cecum_1938	0.7060402214092018
PFF_Cecum_1910	0.673216188571821
PFF_Cecum_1913	0.6035953391863075
PFF_Cecum_1942	0.48996637943946075
PFF_Cecum_19	0.43690871509944895
PFF_Cecum_1907	0.7052110845104318
PFF_Cecum_25	0.5023348513948468
PFF_Cecum_1906	0.693735160823413
PFF_Cecum_36	0.6744662768662016
PFF_Cecum_27	0.583572305203022
PFF_Cecum_1944	0.6853767588710802
PFF_Cecum_1908	0.6004393186938827
PFF_Cecum_15	0.709169481064482
PFF_Cecum_1917	0.6655797990685437
PFF_Cecum_1941	0.6520377813751608
PFF_Cecum_32	0.80612217920708
PFF_Cecum_1937	0.6711099677236358
PFF_Cecum_14	0.6188479870060779
PFF_Cecum_18	0.4868059843996999
