SampleID,MouseID,Site,Sex,Q22,Startle_PPI
561,561,COL,Male,KO,Startle_PPI
561-ILE,561,ILE,Male,KO,Startle_PPI
690,690,COL,Female,KO,NA
690-FP-ILE,690,ILE,Female,KO,NA
747,747,COL,Male,KO,Startle_PPI
747-ILE,747,ILE,Male,KO,Startle_PPI
749,749,COL,Female,KO,Startle_PPI
749-ILE,749,ILE,Female,KO,Startle_PPI
781,781,COL,Female,KO,Startle_PPI
781-FP-ILE,781,ILE,Female,KO,Startle_PPI
814-COL,814,COL,Male,KO,Startle_PPI
814-ILE,814,ILE,Male,KO,Startle_PPI
825-COL,825,COL,Female,KO,Startle_PPI
825-ILE,825,ILE,Female,KO,Startle_PPI
828-COL,828,COL,Female,KO,Startle_PPI
828-ILE,828,ILE,Female,KO,Startle_PPI
850-COL,850,COL,Male,KO,Startle_PPI
850-ILE,850,ILE,Male,KO,Startle_PPI
865-FP-COL,865,COL,Male,KO,Startle_PPI
865-FP-ILE,865,ILE,Male,KO,Startle_PPI
868-FP-COL,868,COL,Female,KO,Startle_PPI
868-FP-ILE,868,ILE,Female,KO,Startle_PPI
968-COL,968,COL,Male,KO,Startle_PPI
968-ILE,968,ILE,Male,KO,Startle_PPI
970-COL,970,COL,Male,KO,Startle_PPI
970-ILE,970,ILE,Male,KO,Startle_PPI
109,109,COL,Female,WT,Startle_PPI
681,681,COL,Male,WT,NA
109-FP-ILE,109,ILE,Female,WT,Startle_PPI
408,408,COL,Female,WT,Startle_PPI
408-ILE,408,ILE,Female,WT,Startle_PPI
411,411,COL,Male,WT,Startle_PPI
411-ILE,411,ILE,Male,WT,Startle_PPI
569,569,COL,Female,WT,Startle_PPI
569-ILE,569,ILE,Female,WT,Startle_PPI
570,570,COL,Male,WT,Startle_PPI
570-ILE,570,ILE,Male,WT,Startle_PPI
675,675,COL,Male,WT,NA
675-FP-ILE,675,ILE,Male,WT,NA
681-FP-ILE,681,ILE,Male,WT,NA
704,704,COL,Female,WT,Startle_PPI
704-ILE,704,ILE,Female,WT,Startle_PPI
708,708,COL,Male,WT,Startle_PPI
708-ILE,708,ILE,Male,WT,Startle_PPI
729,729,COL,Female,WT,Startle_PPI
729-ILE,729,ILE,Female,WT,Startle_PPI
732,732,COL,Male,WT,Startle_PPI
732-ILE,732,ILE,Male,WT,Startle_PPI
741,741,COL,Male,WT,Startle_PPI
741-ILE,741,ILE,Male,WT,Startle_PPI
750,750,COL,Male,WT,Startle_PPI
750-ILE,750,ILE,Male,WT,Startle_PPI
782,782,COL,Female,WT,Startle_PPI
782-FP-ILE,782,ILE,Female,WT,Startle_PPI
786,786,COL,Female,WT,Startle_PPI
786-FP-ILE,786,ILE,Female,WT,Startle_PPI
